"Author","MinRating","MaxRating","MedRating","AvgRating"
"007black",2096,2096,2096,2096
"01ferdzc",1706,1706,1706,1706
"0dannyphantom0",499,959,729,729
"0nce_Upon_My_Story",793,793,793,793
"0phelianne",196,196,196,196
"1000_Spiders_in_a_Trenchcoat",49,49,49,49
"1000lux",1287,1287,1287,1287
"1000thGhost",20,20,20,20
"100indecisions",71,642,313,334.75
"101places",69,835,312.5,326.769230769231
"11paruline44",710,710,710,710
"1337banna",1853,5442,3148,3397.75
"1337wtfomgbby",7,1053,692,584
"13ee",253,253,253,253
"13gj6",156,156,156,156
"13th_blackbird",863,2310,2148,1795.6
"14hpgirl19",1212,1212,1212,1212
"157yrs",154,154,154,154
"16mistypaw",380,5022,2701,2701
"1787AmericanRevnerd",58,58,58,58
"17fingertips",2015,2015,2015,2015
"17thousand",507,507,507,507
"1863",514,514,514,514
"1917farmgirl",623,623,623,623
"19_smiles",203,203,203,203
"19lams5",526,1741,1133.5,1133.5
"1AdiWriter1",59,59,59,59
"1LuckyDetective1",1670,1670,1670,1670
"1PB2PB3PB4",1008,1008,1008,1008
"1SilentWolfWarrior",205,373,265,281.6
"1_800_fiction",1837,2075,1956,1956
"1_Queen",22,967,65,236.916666666667
"1_ReadDontSleep_1",60,1592,302,514.833333333333
"1cafezinho",1979,1979,1979,1979
"1creativeusernameplease",69,2314,1191.5,1191.5
"1f_this_be_madness",52,477,264.5,264.5
"1llusionmachine",852,991,921.5,921.5
"1nceGivenUp_NeverRegained",1479,1716,1597.5,1597.5
"2000pancakes",825,1647,1236,1236
"20SomethingSuperHeroes",124,1336,156,340.428571428571
"21stCenturyBluestocking",17,204,110.5,110.5
"221B Bitch (UndeservingHero)",57,486,271.5,271.5
"221brothermine",1203,1203,1203,1203
"221bshrlocked",2071,2071,2071,2071
"222Ravens",351,2312,1596,1376.8
"22alabaster",190,190,190,190
"23KatieMacpherson19",854,854,854,854
"23Murasaki",318,6036,3177,3177
"2Hemi2",1652,1652,1652,1652
"2livenlove",385,3004,1658,1682.33333333333
"2manycharacters",157,157,157,157
"2manycrackficideas (toomanystoryideas)",97,97,97,97
"2ofpentacles",341,341,341,341
"2queer4here",250,250,250,250
"2short4astormtrooper",184,184,184,184
"2woodroses",264,445,354.5,354.5
"30026401",3440,3440,3440,3440
"300spartans",16804,16804,16804,16804
"382",15,448,282.5,258.5
"38Heroes",130,130,130,130
"3HobbitsInATrenchcoat",807,807,807,807
"3KidsInATrenchCoat",46,2416,484,857.5
"400typesof_aloevera",24,24,24,24
"408_Request_Timeout",107,107,107,107
"425599167",1681,3507,1838.5,2195.33333333333
"425anonymous",334,334,334,334
"46hasu (orphan_account)",1465,1465,1465,1465
"4AcesofSpades",146,354,250,250
"4ce_in_sp4ce",1534,2788,2168,2163.33333333333
"4gardiean",292,2627,2451,1790
"4hoots",383,4202,1696,2171.57142857143
"4persephone",1420,2767,2093.5,2093.5
"530_and_some_fandoms",815,815,815,815
"54worlds",311,1431,420,639.714285714286
"54yomi",553,553,553,553
"5ofSpades",792,7635,1840.5,2523
"5wans_Kenobe",135,383,185.5,222.25
"5ximera5",8,8,8,8
"60sec400",797,2116,1695,1536
"66chaoticMinds",15,65,40,40
"68legs",105,105,105,105
"6Starlight6",135,135,135,135
"6monthsfromnever",102,1197,275,382.166666666667
"743ish",2035,2035,2035,2035
"745sticky",3427,3427,3427,3427
"7Fanfer7",1169,1169,1169,1169
"7billionothersandme",1826,2611,2218.5,2218.5
"84dragons",1773,1773,1773,1773
"8at5am_Wh0_L4ugh5",10,10,10,10
"8bitluck",1372,1372,1372,1372
"8the_cat_chemist_doctor8",1567,1625,1596,1596
"9093008323",62,138,89,94.2
"93PenguinImperator",42,137,89.5,89.5
"99percentsure",112,112,112,112
"9tieth",516,516,516,516
"A Hot Pink Mess (HotPinkMess)",95,95,95,95
"A Magiluna Stormwriter (ariestess)",120,291,152,178.75
"A1derfulperson",196,196,196,196
"AAMain",89,2397,139,514.5
"ABNarrative",58,58,58,58
"ABSOLute06",137,591,364,364
"ABYSSDEA",1368,1368,1368,1368
"ABZB13",229,229,229,229
"ABerryRandomWriter",633,2377,1196,1402
"ABitWeird",755,1144,949.5,949.5
"ABooklySolo (ksquared83)",373,373,373,373
"ACKenobi11",214,32857,1195.5,2172.41176470588
"ACSkywalker",537,537,537,537
"ACelestialDream",316,316,316,316
"AClever_Username",1111,1111,1111,1111
"ACourtofSnakesandStars",869,869,869,869
"ADGAEA",47,236,109,117
"ADPyramid",422,422,422,422
"ADbLOCK",1342,1342,1342,1342
"ADivingQueen",132,132,132,132
"ADoctorARoseandAShip",220,220,220,220
"AFlockOfBagels",581,581,581,581
"AGreekDemigod",163,1117,412.5,543
"AHopefulVoice",157,157,157,157
"AJGhostWolf",3744,3744,3744,3744
"AJ_Writes_Nooks",24,256,48.5,94.25
"AJfanfic",356,4733,666,1060.64705882353
"AKP31E",54,54,54,54
"AManOfMyth",870,870,870,870
"AMedina",78,115,96.5,96.5
"AMournfulHowlInTheNight",209353,209353,209353,209353
"ANGSWIN",581,656,618.5,618.5
"ANNDITORIUM",489,4952,980,2140.33333333333
"ANTchan",361,874,658,643.333333333333
"AO98",537,2508,1134.5,1328.5
"APMorin",397,397,397,397
"APendingThought",372,2550,621,1186.2
"APerfectNobody",529,529,529,529
"APgeeksout",42,119,80.5,80.5
"ARAGAKIGORO",174,174,174,174
"ARC655",1257,1257,1257,1257
"ASadHermitStory",49,810,702,520.333333333333
"ASecretShipper",369,369,369,369
"ASinglePlotIdea",631,4103,1934.5,2150.75
"ASiriusAuthor (OneTrueSirius)",460,460,460,460
"ASongofSixpence",1864,1864,1864,1864
"AStarWarsFan",30,9031,226.5,581.230769230769
"ATMachine (orphan_account)",71,71,71,71
"AWholeSentientHam",898,898,898,898
"AZNKIM",1437,1437,1437,1437
"AZTX",33,33,33,33
"A_Canceled_Stamp",542,1354,948,948
"A_Cinnamon_Roll",7,7,7,7
"A_Horse_Called_Hwin",3088,3088,3088,3088
"A_Lover_of_Nature",500,500,500,500
"A_Manda_Lorian",128,128,128,128
"A_Nobelmonster",107,107,107,107
"A_Phoenix_Inferno_K20",371,1149,745.5,752.75
"A_Pilgrim_In_Zion",1287,1287,1287,1287
"A_Random_Pillow (orphan_account)",1879,1879,1879,1879
"A_Roadside_Attraction",81,531,306,306
"A_Shieldmaiden_of_Rohan",181,1540,313,540.285714285714
"A_Side_of_Curly_Fries",735,735,735,735
"A_Smiling_Face",789,789,789,789
"A_Spark_Of_Hope",40,292,79,137
"A_Starry_Night",75,194,105,124.666666666667
"A_Stranded_Grand_Admiral",88,88,88,88
"A_Touch_Of_Insanity",1161,2038,1599.5,1599.5
"A_Undomiel",324,481,431,416.75
"A_Voice_in_the_Desert",969,1081,1025,1025
"A_beautiful_lie",4930,4930,4930,4930
"A_chinchilla_with_lightsaber",47,47,47,47
"A_dork",126,126,126,126
"A_fallen_prince_A_worthy_hero",643,643,643,643
"A_fangirl_alone",43,43,43,43
"A_fluffer_nutter",30,75,56.5,54.5
"A_little_wizard_lad",216,216,216,216
"Aariel",65,4451,510.5,913.333333333333
"Aaron2Bu",2,2,2,2
"Aaronantium",91,577,334,334
"Aaveena",717,1422,1069.5,1069.5
"AayHan",306,1058,682,682
"AayalaMaro",2774,2774,2774,2774
"Abacura",1311,2201,1756,1756
"AbandonShip",69,964,175,345.75
"Abboh",219,2321,445,817.888888888889
"AbbyGel",762,762,762,762
"AbbyNormal831",568,568,568,568
"Abenteuerfrosch",43,43,43,43
"AberrantRen",775,775,775,775
"Abhorsen44",63,1188,625.5,625.5
"Abidos",1852,1852,1852,1852
"Abinaryboi",430,1112,833.5,802.25
"AbnormalMind777",75,278,176.5,176.5
"Abnormal_Cleric",130,193,161.5,161.5
"AbrilOpal",1808,1808,1808,1808
"Absolute Toilet (VisceraNight)",157,157,157,157
"AbsoluteCreed",393,4622,1576.5,1915.5
"AbstractionDesolation",141,194,177,170.666666666667
"AcademiaCrypt",741,2192,753,1228.66666666667
"Acastus",666,666,666,666
"AcatnamedPhil",221,531,376,376
"Account_Created",105,585,413,367.666666666667
"Acct",12,46,18,23.75
"Ace Raven of Clan Chaos (Music_is_life_2788)",388,388,388,388
"Ace20tsf",53,53,53,53
"AceQueenKing",79,3534,547,903.411764705882
"Ace_Beef",99,99,99,99
"Ace_Evergreen",53,2217,461.5,861.833333333333
"Ace_of_Stars",1092,1175,1133.5,1133.5
"Ace_sama",3147,5607,3772,4175.33333333333
"Acelaces",1452,1452,1452,1452
"Aceofstars16",342,7546,1314,1443.91176470588
"AcesArtscape",12,12,12,12
"Acespacedweller",3064,3064,3064,3064
"Achellias",571,20728,8274,9461.75
"Achernar",52,88,70,70
"AchromaticAgent",601,601,601,601
"AcieReyloPawesome",821,821,821,821
"ActualWritesThings",107,181,124.5,134.25
"AdaliaK",230,9918,1664,1905.04
"Adari_Amris",256,256,256,256
"Adarian",545,1082,813.5,813.5
"Adaris",748,10910,2699,4019.88888888889
"Addie_Lover_of_Stories",422,422,422,422
"Addromedia",1425,1425,1425,1425
"AdelaFromJaneEyre",1438,1438,1438,1438
"AdelaideAnagram",4,726,82,194.8
"Adelphrexia",2986,2986,2986,2986
"AdenaWolf",3407,3407,3407,3407
"AdiGallia9",159,1233,391,486
"Adishailan",10667,10667,10667,10667
"AdministrativeCatBoy",2893,2893,2893,2893
"AdmiralTDeVanto",236,1256,746,746
"Admiral_Byzantium",54,54,54,54
"Adolescentcatlady",112,333,170,196.25
"AdorableDoom",190,2022,543.5,764
"Adsdragonlover",5910,5910,5910,5910
"Adsecula",240,1736,263,746.333333333333
"Adunno",140,140,140,140
"AdvancedTreeLover",79,249,197,182.666666666667
"AdvertisementForTheHeart",460,3123,1441,1674.66666666667
"Aedyn",273,339,306,306
"Aegistic",426,426,426,426
"Aelfwynn",145,2702,440,842.7
"Aelig",344,3155,1671,1660.375
"Aelyna",60,60,60,60
"Aemilius21",166,166,166,166
"AenaFirestar",791,791,791,791
"Aenigmatic",1348,1348,1348,1348
"Aer",9721,9721,9721,9721
"Aerial312",365,627,496,496
"Aeriels_Stories",608,4814,2963,2802.6
"Aerumna",11,11,11,11
"Aerykai",222,417,307,314.2
"Aeschyli",201,201,201,201
"Aeshdan",4037,4037,4037,4037
"Aesthetic_Wreck",879,879,879,879
"Aether (ThatAloneOne)",425,880,652.5,652.5
"AetherBunny",45,1840,312,705.571428571429
"Aetherschreiber",207,3228,1035,1136.75
"Aethersprite",6321,6321,6321,6321
"Afraid",142,142,142,142
"Agapushka",40,388,215,227.4
"AgateHearts",54,183,65,91.75
"AgathaG",110,110,110,110
"AgentCodywolf",1489,1929,1709,1709
"AgentFrostbite",46,46,46,46
"AgentMalkere",1577,4578,3077.5,3077.5
"AgentMaryMargaretSkitz",120,493,428,347
"AgentNerd",790,4494,1836,2374.6
"AgentStannerShipper",1178,1178,1178,1178
"Agentpeggicarter",2244,2244,2244,2244
"Agentrogers17",1185,1185,1185,1185
"Aggimagination",342,1259,800.5,800.5
"Aggression",1427,1427,1427,1427
"AghMySpleen",19,19,19,19
"AgrippaSpoleto",139,702,376.5,388.125
"Agustin_drunk",242,242,242,242
"Ahatmadeofcheese",1159,1159,1159,1159
"Ahdoka99",43,1407,493,647.666666666667
"Ahmad_Soekowi",19,19,19,19
"Ahriah (TheBubbliciousGenius)",67,67,67,67
"Ahsoka7567",102,102,102,102
"AhsokaFreakinTano",2803,2803,2803,2803
"AhsokaHermioneGamgee",35,87,46,56
"AhsokaLegend",447,1156,593,697.25
"AhsokaSkywalker8",1772,1772,1772,1772
"AhsokaTheBrave",2798,35580,15483,17953.6666666667
"Ahsoka_Rose",254,254,254,254
"Ahsokasupremacy",1019,3135,1618,1731.4
"Ahtohallann",48,48,48,48
"AiKat (OldEmeraldEye)",20,130,90.5,79.3333333333333
"Aiacha_Teia_Kyto",136,830,483,483
"Aiambia",985,2929,1272,1614.5
"Aicosu",476,2605,1825,1614.8
"AidanChase",193,193,193,193
"Aideen",459,948,703.5,703.5
"Aifsaath",204,5525,3135,2954.66666666667
"AileensFeather",1701,1701,1701,1701
"Ailelie",3300,3300,3300,3300
"Aileuromania",342,342,342,342
"AilsaAbigail",647,647,647,647
"Ailyn_Writes_Poorly",3,3,3,3
"Aina_Agras",275,275,275,275
"AirTrafficControl",498,1567,1032.5,1032.5
"Airelery",2,250,83,104.5
"Airlock_Failure",81,521,332,311.333333333333
"AirlocksandAviaries",1139,1139,1139,1139
"Aisha_Luv",418,418,418,418
"Aislynn092",193,20924,10558.5,10558.5
"Aj (aj2245)",441,947,694,694
"Ajpendragon",210,466,338,338
"Akade",53,53,53,53
"Akaihyou",172,859,515.5,515.5
"Akashne",122,507,410,346.333333333333
"AkiRah",362,1155,561,634.888888888889
"Aki_Wolf",172,172,172,172
"Akishia",526,526,526,526
"Akrasiel (NemesisNecrosis)",148,148,148,148
"Aku_Cinta_Kamu",3192,3192,3192,3192
"Al_Holmes",551,551,551,551
"Al_Tano_218",836,836,836,836
"Alaiis",2369,2369,2369,2369
"AlamoGirl80",114,114,114,114
"Alania",323,1990,430,914.333333333333
"Alarose",4648,4648,4648,4648
"AlasPoorCesario",393,453,423,423
"Alaska934",338,338,338,338
"Albert12",4054,4054,4054,4054
"Albert98",114,114,114,114
"AlbertFinestein",1490,1490,1490,1490
"Alberta_Sunrise",580,3456,1756,1822.2
"Albeva",6,6,6,6
"Albion19",3471,3471,3471,3471
"Albiona",131,131,131,131
"Alcalina",6121,7597,6859,6859
"Alcyone",575,575,575,575
"Aldaroshka",5,5,5,5
"Aldedron",336,336,336,336
"AlderaanPlaces",64,156,110,110
"Alderaan_babe",521,521,521,521
"AlejaBen",602,602,602,602
"AlekWalker",357,357,357,357
"Aleksandra_Orly (defiersofthestars)",56,153,105,100.4
"Alessandra_DaughterofApollo",306,654,496.5,487.833333333333
"Alex Crosswater (AlexCrosswater)",2594,2594,2594,2594
"Alex Feinman (afeinman)",220,220,220,220
"Alex1920 (LookingSideways)",1229,1229,1229,1229
"AlexBlackHole",92,92,92,92
"AlexC",331,536,470,445.666666666667
"AlexCrosswater",245,245,245,245
"AlexOblivion",268,268,268,268
"AlexSolo77",284,1666,916,955.333333333333
"AlexTirZeng",1384,1384,1384,1384
"Alex_Dax",126,1091,802,673
"Alex_Dempsey10",115,115,115,115
"AlexaAffect",2016,2062,2039,2039
"Alexander Wales (cthulhuraejepsen)",7532,7532,7532,7532
"AlexanderTheOkay",1189,1492,1340.5,1340.5
"Alexander_Lamington",629,629,629,629
"AlexeiTheGreat",78,78,78,78
"AlexielMihawk",28,132,43,67.6666666666667
"AlexielMihawk ENG (AlexielMihawk)",132,3925,673,1170.33333333333
"Alexis_Rockford",138,138,138,138
"AlexiusSawall",274,274,274,274
"Alfhild",67,502,137,219.428571428571
"Alhbez98",77,77,77,77
"Ali16052006",88,88,88,88
"Alias (anafabula)",48,72,57,59
"AliceRein",282,282,282,282
"AliceSloane13",330,677,455,487.333333333333
"AliceTheBrave",307,355,331,331
"Alice_Kingsly",1067,1067,1067,1067
"Alice_Marie",93,93,93,93
"Alice_Writes_Stuff",969,1713,1341,1341
"Alice_in_Chaos",448,2874,659,1160
"AliciaSEN",246,835,311,403
"AliciaSinCiudad",144,619,348.5,338.833333333333
"Alien_Lifeform",70,104,87,87
"Alien_elli",296,296,296,296
"Aliena1989",49,49,49,49
"Aliennotperson",46,46,46,46
"AlienofDoom",128,982,436,498.125
"Aliit_Netra",43,43,43,43
"Alima_Kle",93,102,97.5,97.5
"Alina_writes",254,254,254,254
"Alison_Ocean",599,616,607.5,607.5
"AlissaK_17",348,739,543.5,543.5
"AlitImagination",339,339,339,339
"AliuIce0814",1560,1560,1560,1560
"Alium_Artifex",279,15568,7923.5,7923.5
"Alius_Neo",27,27,27,27
"AlixParker23",1691,1691,1691,1691
"Aliz_aLiz_alIz_aliZ",616,616,616,616
"Alizeya",687,687,687,687
"AllAreLies",501,501,501,501
"AllClonesNeedKisses",246,441,343.5,343.5
"AllDemApples",2242,2242,2242,2242
"AllHailThe_GlowCloud",7440,7440,7440,7440
"AllKnightForever",24,24,24,24
"AllNightDraw",39,39,39,39
"AllOfThisMatter",919,919,919,919
"AllTheFandoms96",377,377,377,377
"AllTheWayMae",1055,3330,1215,1866.66666666667
"AllThroughWinter",4353,8789,7028,6723.33333333333
"All_Hail_Reylo (McDanno50)",2181,2181,2181,2181
"AllaboutFinn (Savoury_Jelly)",78,456,198.5,232.75
"Allatariel",231,334,282.5,282.5
"Alle__Panda",53,1020,186.5,361.5
"Allegory",657,657,657,657
"AllessaRen2198",133,1082,607.5,607.5
"AlleyCatKing",424,424,424,424
"AlleyMoslof",549,549,549,549
"Alley_Skywalker",100,4461,441,766.652173913043
"AlliCassandra",388,388,388,388
"Allicorn",185,185,185,185
"Alliewren414",605,605,605,605
"Allise",991,111279,6890,20582.125
"AllisonWondrrland",2803,2803,2803,2803
"AllofReylo",143,143,143,143
"Alloret_Nkellen",171,425,298,298
"Allronix",459,1624,832.5,906.333333333333
"Allwalkfree",346,7450,3030.5,3364
"AllytheAce",140,140,140,140
"AlmightyAeneas",165,165,165,165
"Alonelily",3565,3565,3565,3565
"Alpaca_Amenala",142,1135,258,427.6
"AlphaTWolf2022",14,14,14,14
