Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits
interlude - fluffy februrary '23,braigwen_s,44751707,14 Mar 2023,General Audiences,"Gen, M/M","Choose Not To Use Archive Warnings, No Archive Warnings Apply",Work in Progress,English,"1,651",5,2,3,1,49
The Blues Batch,melodinklings,45748816,14 Mar 2023,General Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"1,827",1,0,0,0,0
Dank Farrik Drabbles,Azertyrobaz,34871725,14 Mar 2023,General Audiences,"F/M, Gen",No Archive Warnings Apply,Work in Progress,English,"20,361",47,177,159,9,2910
Cobb Vanth: The Marshal's Tale,manofbeskar,45721909,14 Mar 2023,General Audiences,M/M,"Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,"11,425",6,0,2,1,36
Fractured Time,Pamillie,45746809,14 Mar 2023,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,547",1,0,3,1,44
Trials of the Darksaber,duchesssappho,44590066,14 Mar 2023,General Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"19,679",9,17,123,34,1903
Get Well Soon - Poe,Eating_Flowers,45746476,14 Mar 2023,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,623,1,0,0,0,7
love stuck in carbonite (Ver. English),MisakiArioka,44221120,14 Mar 2023,General Audiences,"F/M, Gen","Choose Not To Use Archive Warnings, Graphic Depictions Of Violence",Work in Progress,English,"29,476",14,4,12,1,619
Amor Atrapado en Carbonita (ver. Spanish),MisakiArioka,44203942,14 Mar 2023,General Audiences,"F/M, Other","Choose Not To Use Archive Warnings, Graphic Depictions Of Violence",Work in Progress,Español,"27,877",14,0,1,0,67
|आत्म दीपो भवः| Retrospection,LuminousBeingsAreWe (Jennifer_Perry12),45479044,14 Mar 2023,General Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"4,921",8,19,24,1,534
To Survive and Escape,dragonheart09,45722230,14 Mar 2023,General Audiences,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,"3,574",3,4,30,4,183
The Prince's Crown,reylotrash711,45743452,14 Mar 2023,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,342",1,5,27,3,226
Kitchen Duty,GunRoswell (GunRoswall),45742000,14 Mar 2023,General Audiences,"Gen, M/M",Choose Not To Use Archive Warnings,Complete Work,English,974,2,2,2,0,4
Accidents Happen,Starwalkertales,45741481,14 Mar 2023,General Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,English,"1,859",1,0,9,2,149
Arching hearts,Himilce,42548928,14 Mar 2023,General Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,"21,821",3,14,64,24,994
pride and joy of house organa,notpersephone02,42877230,14 Mar 2023,General Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"81,765",19,49,42,5,789
Go And Catch A Falling Star,Ayearandaday,19053814,14 Mar 2023,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"75,845",83,1615,1214,145,40316
Grogu's Diary from Luke's Jedi Sleep Away Camp,BurnWater_13,45528397,14 Mar 2023,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"10,625",10,10,33,3,750
Confessions,BobasBounty5,45738739,14 Mar 2023,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"1,278",1,0,0,0,15
Anakin Skywalker,Minicole,45738199,14 Mar 2023,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,588,1,0,0,0,24
9 to 5,Minicole,45737938,14 Mar 2023,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,353,1,0,0,0,2
The New Jedi Code,reddottedpaper,45701608,14 Mar 2023,General Audiences,"F/M, Other",Choose Not To Use Archive Warnings,Work in Progress,English,"7,049",3,0,8,1,132
Please Help Me Find This,orphan_account,45735562,14 Mar 2023,General Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,44,1,1,1,1,239
All the Aches Melt Away (When I'm with You),stopstopstopit,45733966,13 Mar 2023,General Audiences,"Gen, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"6,089",1,0,15,3,176
