Author,Min_Word_count,Max_Word_count,Avg_Word_count,Min_Paragraph_Count,Max_Paragraph_Count,Avg_Paragraph_Count
007black,254,254,254.0,1,1,1.0
01ferdzc,19,19,19.0,1,1,1.0
0dannyphantom0,126,449,287.5,1,1,1.0
0nce_Upon_My_Story,7776,7776,7776.0,1,1,1.0
0phelianne,2052,2052,2052.0,1,1,1.0
1000_Spiders_in_a_Trenchcoat,877,877,877.0,1,1,1.0
1000lux,2431,2431,2431.0,2,2,2.0
1000thGhost,2429,2429,2429.0,1,1,1.0
100indecisions,1816,892,1005.0,1,1,1.0
101places,1009,863,1918.5384615384614,1,1,1.0
11paruline44,461,461,461.0,1,1,1.0
1337banna,18274,3737,7177.75,1,6,2.25
1337wtfomgbby,1043,4769,3270.0,1,9,4.666666666666667
13ee,1238,1238,1238.0,1,1,1.0
13gj6,10912,10912,10912.0,6,6,6.0
13th_blackbird,1405,647,1869.4,1,1,1.0
14hpgirl19,2410,2410,2410.0,1,1,1.0
157yrs,531,531,531.0,1,1,1.0
16mistypaw,3141,3583,3362.0,1,1,1.0
1787AmericanRevnerd,331,331,331.0,1,1,1.0
17fingertips,2882,2882,2882.0,1,1,1.0
17thousand,3264,3264,3264.0,1,1,1.0
1863,1656,1656,1656.0,1,1,1.0
1917farmgirl,1480,1480,1480.0,1,1,1.0
19_smiles,949,949,949.0,1,1,1.0
19lams5,28725,39543,34134.0,13,9,11.0
1AdiWriter1,28707,28707,28707.0,5,5,5.0
1LuckyDetective1,1638,1638,1638.0,3,3,3.0
1PB2PB3PB4,2449,2449,2449.0,1,1,1.0
1SilentWolfWarrior,0,832,1580.6,1,8,2.4
1_800_fiction,1211,2680,1945.5,1,2,1.5
1_Queen,1117,3635,6667.25,1,5,5.166666666666667
1_ReadDontSleep_1,1097,976,1219.3333333333333,1,1,1.0
1cafezinho,3337,3337,3337.0,1,1,1.0
1creativeusernameplease,1018,1850,1434.0,1,1,1.0
1f_this_be_madness,599,720,659.5,1,1,1.0
1llusionmachine,1725,2215,1970.0,1,1,1.0
1nceGivenUp_NeverRegained,1018,1097,1057.5,1,1,1.0
2000pancakes,2281,5733,4007.0,1,11,6.0
20SomethingSuperHeroes,14463,8445,17380.285714285714,1,8,2.142857142857143
21stCenturyBluestocking,12217,55245,33731.0,26,8,17.0
221B Bitch (UndeservingHero),23110,505,11807.5,1,13,7.0
221brothermine,768,768,768.0,1,1,1.0
221bshrlocked,11340,11340,11340.0,1,1,1.0
222Ravens,3618,853,1230.4,1,2,1.2
22alabaster,3025,3025,3025.0,1,1,1.0
23KatieMacpherson19,8504,8504,8504.0,1,1,1.0
23Murasaki,1188,54653,27920.5,3,41,22.0
2Hemi2,5455,5455,5455.0,6,6,6.0
2livenlove,2699,4154,3312.6666666666665,1,1,1.0
2manycharacters,731,731,731.0,1,1,1.0
2manycrackficideas (toomanystoryideas),821,821,821.0,1,1,1.0
2ofpentacles,803,803,803.0,1,1,1.0
2queer4here,390,390,390.0,1,1,1.0
2short4astormtrooper,2792,2792,2792.0,28,28,28.0
2woodroses,1052,1382,1217.0,1,1,1.0
30026401,4994,4994,4994.0,5,5,5.0
300spartans,61374,61374,61374.0,64,64,64.0
382,0,6855,4015.1666666666665,1,1,1.0
38Heroes,6668,6668,6668.0,1,1,1.0
3HobbitsInATrenchcoat,655,655,655.0,1,1,1.0
3KidsInATrenchCoat,1464,8254,2998.25,1,5,2.0
400typesof_aloevera,1381,1381,1381.0,1,1,1.0
408_Request_Timeout,599,599,599.0,1,1,1.0
425599167,1107,3333,7141.833333333333,1,4,1.5
425anonymous,58097,58097,58097.0,19,19,19.0
46hasu (orphan_account),1995,1995,1995.0,1,1,1.0
4AcesofSpades,1384,14082,7733.0,1,10,5.5
4ce_in_sp4ce,20941,4705,22443.666666666668,1,6,2.6666666666666665
4gardiean,27252,46334,36415.333333333336,10,20,15.0
4hoots,1082,6452,3264.8571428571427,1,1,1.0
4persephone,3071,4037,3554.0,1,1,1.0
530_and_some_fandoms,843,843,843.0,1,1,1.0
54worlds,1019,868,1938.4285714285713,1,1,1.0
54yomi,3806,3806,3806.0,2,2,2.0
5ofSpades,14161,874,3522.4,1,9,12.2
5wans_Kenobe,2088,947,2510.5,1,4,1.75
5ximera5,2093,2093,2093.0,1,1,1.0
60sec400,1568,2874,7710.333333333333,1,5,2.3333333333333335
66chaoticMinds,1742,1760,1751.0,1,1,1.0
68legs,751,751,751.0,2,2,2.0
6Starlight6,865,865,865.0,1,1,1.0
6monthsfromnever,1207,800,1529.6666666666667,1,5,2.0
