Work ID,Warnings,Relationships,Characters,Other
44751707,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply","Vector Hyllus/Male Imperial Agent | Cipher Nine, Qyzen Fess & Jedi Consular | Barsen'thor, Darth Vowrawn & Qet (Star Wars), Felix Iresso & Female Jedi Consular | Barsen'thor, Malavai Quinn/Female Sith Warrior","Satele Shan, Felix Iresso, Jedi Consular | Barsen'thor, Malavai Quinn","Fluff, Fluff without Plot, Tooth-Rotting Fluff"
45748816,No Archive Warnings Apply,Crosshair & CT-21-0408 | CT-1409 | Echo & Hunter & Omega & Tech & Wrecker (Star Wars: The Bad Batch),"Hunter (Star Wars: The Bad Batch), Crosshair (Star Wars: The Bad Batch), Wrecker (Star Wars: The Bad Batch), Tech (Star Wars: The Bad Batch), Omega (Star Wars: The Bad Batch), 99 (Star Wars: The Clone Wars), CT-7567 | Rex, CC-2224 | Cody","Fluff and Humor, the blues brothers au, Crack Treated Seriously, Alternate Universe - Modern Setting"
34871725,No Archive Warnings Apply,"Din Djarin & Paz Vizsla, Din Djarin & Grogu | Baby Yoda, Din Djarin/Omera","Din Djarin, Grogu | Baby Yoda, Omera (Star Wars), Winta (Star Wars), Paz Vizsla, Luke Skywalker, Ahsoka Tano, Bo-Katan Kryze, Boba Fett, Fennec Shand, Peli Motto, Cara Dune, Cobb Vanth, Frog Lady (The Mandalorian TV), Garsa Fwip","Comfort, Fluff, Family Feels, Found Family, Planet Sorgan (Star Wars)"
45721909,"Graphic Depictions Of Violence, Major Character Death","Din Djarin/Cobb Vanth, Cobb Vanth/Original Male Character(s)","Cobb Vanth, Din Djarin, Grogu | Baby Yoda, Scott (Star Wars: The Book of Boba Fett), Issa-Or (Star Wars), Original Characters, The rest would be spoilers - Character, Jo (The Mandalorian TV), Weequay Proprietor | Taanti (Star Wars), Cad Bane","Canon Compliant, Gay Cobb Vanth, Cobb Vanth backstory, Inclusive of live action appearances, Inclusive of book appearances, It follows canon timeline so Din appears like... in Part 6"
45746809,No Archive Warnings Apply,CT-7567 | Rex/Ahsoka Tano,"CT-7567 | Rex, Ahsoka Tano","Rexsoka Monthly, February Prompt: Broken Datapad, rexsoka, Pre-Relationship, Established Relationship, Time Skips, Post-Traumatic Stress Disorder - PTSD, Canon Compliant, Post-Umbara Arc (Star Wars), Post-Padawan Lost, Post-Order 66 (Star Wars), Pre-Rebllion Era, Padawan Ahsoka, Friends to Lovers, mentions of injury, Broken Bones"
44590066,No Archive Warnings Apply,"Din Djarin & Sabine Wren, Din Djarin & Paz Vizsla, Din Djarin & Grogu | Baby Yoda, Din Djarin & Original Mandalorian Characters, Din Djarin & Ahsoka Tano, Luke Skywalker & Ahsoka Tano, Ahsoka Tano & Sabine Wren, Fenn Rau & Sabine Wren, Sabine Wren & Tristan Wren, Original Characters/Original Mandalorian Characters, Original Mandalorian Characters (Star Wars) & Original Character(s), Din Djarin & Bo-Katan Kryze, Din Djarin & Boba Fett & Fennec Shand, Din Djarin & Peli Motto, Din Djarin & Cobb Vanth","Din Djarin, Sabine Wren, Ahsoka Tano, Fenn Rau, Tristan Wren, Paz Vizsla, Ursa Wren, Luke Skywalker, The Ghost Crew (Star Wars), Protectors of Concord Dawn (Star Wars), Original Mandalorian Characters (Star Wars), Boba Fett, Fennec Shand, Peli Motto, Cobb Vanth","Mandalorian Clans (Star Wars), The Mandalorian Darksaber (Star Wars), Post-Star Wars: The Book of Boba Fett (TV) Season/Series 01, Pre- The Mandalorian (TV) Season 3, Mand'alor Din Djarin, Din Djarin's Perpetual Struggles, Mandalorians are Kind of Assholes, Siblings Ezra Bridger & Sabine Wren, hes not here though he's still in time out, Paz Vizsla Being an Asshole, love to see it, Vizslas Are Just Assholes, BAMF Ahsoka Tano, Jedi: Fallen Order Inspiration, Imperial Labs (Star Wars), Looking For Ezra Bridger, Tormenting Din in the Process, Din Djarin's Second Verd'goten, Crack Treated Seriously, if that, everyone is goofy"
45746476,No Archive Warnings Apply,"Poe Dameron/Reader, Poe Dameron/You",Poe Dameron,"Illness, Nausea, Fluff"
44221120,"Creator Chose Not To Use Archive Warnings, Graphic Depictions Of Violence","Din Djarin/Reader, Din Djarin/You, Din Djarin & Reader, Din Djarin/Original Female Character(s), Din Djarin/Original Character(s), Din Djarin & You, Din Djarin & Grogu | Baby Yoda & Reader","Din Djarin, Grogu | Baby Yoda, Luke Skywalker, Sith Characters (Star Wars), Original Female Sith Character(s), Original Sith Character(s), Jedi Padawan Character(s), Jedi Order (Star Wars), Jedi Temple Guards (Star Wars), Jedi Master Character(s)",Star Wars References
44203942,"Creator Chose Not To Use Archive Warnings, Graphic Depictions Of Violence","Din Djarin/Reader, Din Djarin/You, Din Djarin & Reader, Din Djarin/Original Character(s)","Din Djarin, Yoda (Star Wars), Grogu | Baby Yoda, Original Mandalorian Characters (Star Wars), Mandalore (Star Wars), Original Sith Character(s), Sith Characters (Star Wars), Sith Warrior",Star Wars References
45479044,No Archive Warnings Apply,"Obi-Wan Kenobi & Anakin Skywalker, Anakin Skywalker & Anakin Skywalker","Obi-Wan Kenobi, Anakin Skywalker, Anakin Skywalker | Darth Vader","Mentioned Padmé Amidala, Padawan Anakin Skywalker, Young Anakin Skywalker, Anakin Skywalker Needs a Hug, Men Crying, Sick Anakin Skywalker, Protective Obi-Wan Kenobi, Anakin Skywalker Whump, The Force Is Anakin Skywalker's Parent, Canon Divergence - Star Wars: Revenge of the Sith, Fluff and Angst, Hurt/Comfort, Angst with a Happy Ending, Suicidal Thoughts"
45722230,Creator Chose Not To Use Archive Warnings,CT-9904 | Crosshair & Clone Commander Mayday,"Crosshair (Star Wars: The Bad Batch), Clone Commander Mayday (Star Wars)","Crosshair Needs a Hug (Star Wars: The Bad Batch), Protective Crosshair (Star Wars: The Bad Batch)"
45743452,No Archive Warnings Apply,Rey/Ben Solo | Kylo Ren,"Rey (Star Wars), Ben Solo | Kylo Ren","Kid Fic, reylo child, Reylo Baby, Alternate Universe - Canon Divergence, Fluffy, Cute, Family, Ben is the best dad, Flower Crowns, Domestic Fluff, Sickeningly Sweet, SO MUCH FLUFF, Fix-It, No angst to be seen here, Redeemed Ben Solo, Established Relationship, Soft Ben Solo, Ben Solo Lives, Parent Rey (Star Wars), Drabble, short fic"
45742000,Creator Chose Not To Use Archive Warnings,"Popsicle Clone/Soup Clone/Toast Clone | Sandwich Clone (Star Wars), Soup Clone/Toast Clone | Sandwich Clone (Star Wars)","Soup Clone (Star Wars), Toast Clone | Sandwich Clone (Star Wars), CC-2224 | Cody","CHSOTM, prompts, total crack, Alternate Universe - Canon Divergence, kitchen duty, mess hall, Cooking, secret ingredients, Mentions of alcohol, soup's up!, toasted!, (yeah they all get drunk because of the secret ingredient), Bloody Palpatine drink, Soup and Toast are cooking in the kitchen!, Clone Haven Server's Ship of the Month Event, Ficlet, Misuse of alcohol?, poor attempts of humour"
45741481,Creator Chose Not To Use Archive Warnings,Obi-Wan Kenobi & Anakin Skywalker,"Obi-Wan Kenobi, Anakin Skywalker, Sheev Palpatine | Darth Sidious, Grievous | Qymaen jai Sheelal, Yoda (Star Wars), Mace Windu","A bit of a Crack!Fic, takes place in rots, what if, palpatine is killed by an elevator - not sorry!, accidents to end the war, some swearing and curse words, Canon Typical Violence, Alternate Universe - Canon Divergence, I wanted to have something funny and fluffy and a happy ending, Fix-It of Sorts, This is just silly, sorry - Freeform, but not sorry"
42548928,No Archive Warnings Apply,Obi-Wan Kenobi/Anakin Skywalker,"Anakin Skywalker, The Force (Star Wars), Sheev Palpatine | Darth Sidious, Bail Organa, Leia Organa, Obi-Wan Kenobi, Luke Skywalker, Ahsoka Tano","Redeemed Anakin Skywalker, The Force is a good parent, Rebel Anakin Skywalker, Past Padmé Amidala/Anakin Skywalker, Other Additional Tags to Be Added, Obi-Wan Kenobi Raises Luke Skywalker, Obi-Wan Kenobi Needs a Hug"
42877230,No Archive Warnings Apply,"Breha Organa & Leia Organa, Bail Organa/Breha Organa","Breha Organa, Leia Organa, Bail Organa","Mother-Daughter Relationship, Family Fluff, Planet Alderaan (Star Wars), One Shot Collection, Canon Disabled Character, Canon Character of Color"
19053814,No Archive Warnings Apply,"Rey/Ben Solo | Kylo Ren, Kylo Ren/Rey","Rey (Star Wars), Ben Solo | Kylo Ren, Leia Organa, Rose Tico, Finn (Star Wars), Poe Dameron","Alternate Universe - Modern Setting, Meet-Cute, Fluff, Alternate Universe - Library, mermaid au, Established Relationship, Boss/Employee Relationship, Friends to Lovers, Alternate Universe - Historical, Devoted Reylo, Alternate Universe - Canon Divergence, Unsolicited sex advice, Teacher-Student Relationship, Weddings, Reylo Kids, 5+1 Things, Alternate Universe - Bakery, Accidental Proposal, Romantic Fluff, Meddly Mama Leia, Good Parent Han Solo, He knows everything about Skywalkers' cockblocking powers, not on his watch!, Insomniac Ben, very married Ben, Ben is a big softie, Hux is actually a good friend, Rey uses Ben as her personal heater, Alternate Universe - Royalty, Prince Ben Solo, Fake/Pretend Relationship, Awkward Ben Solo, Inappropriate Use of Lightsabers, in metaphorical sense, Idiots in Love, Dragon Kylo Ren, Knight Rey, Ben and Rey being sweet sweet idiots, Kylo Ren & Ben Solo are Twins, Ex-Military Ben, Jealous Ben Solo, Proud Father Han, Pets, Jealous Rey (Star Wars), Precious dummy Ben, Fae & Fairies, Mention of pregnancy, Rey and Ben have a healthy sex life, Alternate Universe - Detectives, Witches, Familiars, Alternate Universe - College/University, Miscommunication, Good Boy Sweater, Allergies, Hair care routine, McDonalds as a plot device, The Author Should Be Dieting, Hungry little gremlins, TROS fuck-it, that thing doesn't deserve a fix-it fic, Inspired by Hades and Persephone (Ancient Greek Religion & Lore), Devoted Rey/Ben Solo | Kylo Ren"
45528397,No Archive Warnings Apply,"Din Djarin & Grogu | Baby Yoda, Grogu | Baby Yoda & Luke Skywalker","Din Djarin, Grogu | Baby Yoda, Luke Skywalker",Diary/Journal
45738739,No Archive Warnings Apply,"Boba Fett/Reader, Boba Fett & Reader",Boba Fett,"Fluff, Love Confessions, Romance, Short One Shot, One Shot, Short & Sweet"
45738199,No Archive Warnings Apply,,"Anakin Skywalker | Darth Vader, Obi-Wan Kenobi, Padmé Amidala, Clone Troopers (Star Wars), Ahsoka Tano, Mace Windu","Song Lyrics, Hamilton Lyrics, Inspired by Music, Crack, Angst"
45737938,No Archive Warnings Apply,,Clone Troopers (Star Wars),"Inspired by Music, Song Lyrics, Crack"
45701608,Creator Chose Not To Use Archive Warnings,"Cal Kestis/Merrin, BD-1 & Cal Kestis, Cere Junda & Cal Kestis, Greez Dritus & Cal Kestis, Greez Dritus & Cere Junda, Cere Junda & Cal Kestis & Merrin","Cal Kestis, Merrin (Star Wars), Cere Junda, Greez Dritus, BD-1 (Star Wars), The Mantis Crew (Star Wars), Jaro Tapal","Slow Burn, Angst with a Happy Ending, Fluff and Angst, Jedi Code (Star Wars), Jedi Culture & Tradition (Star Wars), Internal Conflict, Falling In Love, Idiots in Love, Force Philosophy (Star Wars), Character Study, Tooth-Rotting Fluff, Post-Star Wars: Jedi: Fallen Order, Force Meditation (Star Wars), First Kiss, Trauma, Angst and Hurt/Comfort, Cal Kestis Needs a Hug, Merrin Needs A Hug (Star Wars), a surprise at the end i will not tag here"
45735562,Creator Chose Not To Use Archive Warnings,Obi-Wan Kenobi & Anakin Skywalker,"Obi-Wan Kenobi, Anakin Skywalker, CT-7567 | Rex, Ahsoka Tano, Jedi Council (Star Wars)","Kidnapping, Amnesia, Hurt/Comfort, Hurt Anakin Skywalker, Protective Obi-Wan Kenobi"
45733966,Creator Chose Not To Use Archive Warnings,"CT-21-0408 | CT-1409 | Echo & Wrecker (Star Wars: The Bad Batch), Tech & Wrecker (Star Wars: The Bad Batch), CT-9904 | Crosshair & Clone Trooper Tech, CT-9904 | Crosshair & Clone Trooper Hunter, CT-9904 | Crosshair & CT-21-0408 | CT-1409 | Echo & Clone Troopers Hunter & Tech & Wrecker, CT-21-0408 | CT-1409 | Echo & Hunter (Star Wars: The Bad Batch)","CT-21-0408 | CT-1409 | Echo, Wrecker (Star Wars: The Bad Batch), Tech (Star Wars: The Bad Batch), Crosshair (Star Wars: The Bad Batch), Hunter (Star Wars: The Bad Batch)","Headaches & Migraines, Hurt/Comfort, Massage, Platonic Relationships, Platonic Cuddling, 5 Things, Past Abuse, taking care of each other, Pre-Episode: s01e01 Aftermath (Star Wars: The Bad Batch), Cuddling & Snuggling, Touch-Starved, Overstimulation, Sharing a Bed, Meant as Gen but could be read as platonic or shippy I suppose take your pick"
45534142,Creator Chose Not To Use Archive Warnings,"Mara Jade/Luke Skywalker, Leia Organa/Han Solo","Mara Jade, Luke Skywalker, Han Solo, R2-D2 (Star Wars), C-3PO (Star Wars), Jabba Desilijic Tiure | Jabba the Hutt, Bib Fortuna, Salacious Crumb, Oola, Sheev Palpatine | Darth Sidious","Enemies to Lovers, Action/Romance, Action/Adventure, Tatooine Slave Culture (Star Wars)"
45733543,Creator Chose Not To Use Archive Warnings,Obi-Wan Kenobi & Rey,"Obi-Wan Kenobi, Rey (Star Wars)","Post-Star Wars: A New Hope, Pre-Star Wars: The Force Awakens, Time Shenanigans, Force Ghost Obi-Wan Kenobi, Rey Needs A Hug (Star Wars)"
44836366,No Archive Warnings Apply,"Obi-Wan Kenobi & Anakin Skywalker, Anakin Skywalker & Ahsoka Tano, Padme Amidala/Anakin Skywalker (past), Padmé Amidala & Anakin Skywalker (minor), Mill Alibeth & Anakin Skywalker (minor), CT-7567 | Rex & Anakin Skywalker","Anakin Skywalker | Darth Vader, Ahsoka Tano, Obi-Wan Kenobi, Padme Amidala (minor), Sheev Palpatine | Darth Sidious (minor), Mill Alibeth (minor), CT-7567 | Rex","Time Travel, Time Travel Fix-It, Fix-It of Sorts, Anakin Skywalker Needs a Hug, Anakin Skywalker Needs Therapy, Ahsoka Tano Needs a Hug, Obi-Wan Kenobi Needs a Hug, Protective Anakin Skywalker, Trauma, Recovery, Psychological Trauma, Anakin Skywalker has PTSD, Obi-Wan Kenobi is Anakin Skywalker's Parent, Obi-Wan Kenobi & Anakin Skywalker Friendship, Anakin Skywalker & Ahsoka Tano Are Siblings, Anakin Skywalker & Ahsoka Tano Friendship, Angst, Hurt/Comfort, Emotional Hurt/Comfort, Family, Friendship, Eventual Happy Ending, CT-7567 | Rex & Anakin Skywalker Friendship"
45733180,No Archive Warnings Apply,"Kanan Jarrus/Hera Syndulla, Kanan Jarrus & Hera Syndulla","Kanan Jarrus, Hera Syndulla","Alternate Universe - Werewolf, Alternate Universe - Modern with Magic, Werewolf AU, werewolf kanan jarrus, he's so in love with her help him, morning drabbles, soft kanera, chopper is a cat btw"
45732646,Creator Chose Not To Use Archive Warnings,Rey/Ben Solo | Kylo Ren,"Rey (Star Wars), Ben Solo, Kylo Ren, Ben Solo | Kylo Ren","Ficlet, Post-Star Wars: The Rise of Skywalker, Post-Canon Fix-It, Redemption, Light Angst, Could possibly lead to more, I guess we'll see, I wrote this in about fifteen minutes please don't judge"
45731710,No Archive Warnings Apply,Cadence Haren & Daska Tarmin,"Daska Tarmin | Secretary, Cadence Haren","hey followers its me, ya girl, with more jjc fanfiction only, pov daska actively fights fate and loses"
45731032,Creator Chose Not To Use Archive Warnings,"CT-6116 | Kix & Ahsoka Tano, CT-7567 | Rex & Ahsoka Tano, CT-5597 | Jesse & Ahsoka Tano, Obi-Wan Kenobi & Anakin Skywalker & Ahsoka Tano","Ahsoka Tano, CT-6116 | Kix, CT-7567 | Rex, CT-5597 | Jesse, Obi-Wan Kenobi, Anakin Skywalker","Padawan Ahsoka Tano, Hurt Ahsoka Tano, Injury, not graphic though, No injury discription, just a bit of pain, Hurt/Comfort, Fluff, lots of fluff, Ahsoka Tano Gets a Hug"
45730267,No Archive Warnings Apply,Padmé Amidala/CC-1010 | Fox/Anakin Skywalker,"Padmé Amidala, CC-1010 | Fox, Anakin Skywalker","Threesome - F/M/M, Fluff, Slice of Life"
45691027,Major Character Death,Amilyn Holdo/Leia Organa,"Leia Organa, Amilyn Holdo, Mon Mothma, Original Characters, Ahsoka Tano","ruling a planet is hard, shadowy weird shit, Hildegard Von Bingen References, Leia Organa Deserves Better, love that crazy bitch, she was a prolific composer, AND GAY, and crazy, love her, named a character after her, Pre-War, Everything goes differently, there is fluff i swear, Alternate Universe - Canon Divergence, Amileia is cute, Petition to just call them, Amelia - Freeform, Planet Alderaan (Star Wars), Planet Alderaan Is Not Destroyed (Star Wars), Alderaanian Culture (Star Wars)"
45645091,No Archive Warnings Apply,"Satine Kryze & Barriss Offee, Soniee & Barriss Offee, Lagos & Barriss Offee, Barriss Offee & Ahsoka Tano, Amis & Korkie Kryze & Lagos & Soniee","Barriss Offee, Satine Kryze, Soniee (Star Wars), Lagos (Star Wars)","Post-Episode: s02e14 Duchess of Mandalore, Canon Divergence - Star Wars: The Clone Wars (2008), Barriss Leaves Before Falling, Planet Mandalore (Star Wars), Just Walk Out, You Can Leave!!!, Work, Social Thing, movies - Freeform, Home, class, Dentist, Clothes Shoppi, Too Fancy Weed Store, Cops if Your Quick, Friend Ships, If it Sucks... Hit Da Bricks!!, Real Winners Quit"
45729007,No Archive Warnings Apply,Din Djarin/Luke Skywalker,"Din Djarin, Luke Skywalker","Established Relationship, Hurt/Comfort, Injury, Fluff"
31903666,No Archive Warnings Apply,"Roose Bolton/Sansa Stark, Tywin Lannister/Sansa Stark, Sansa Stark/Dickon Tarly, Yara Greyjoy/Sansa Stark, Domeric Bolton/Sansa Stark, Davos Seaworth/Sansa Stark, Jaqen H'ghar/Sansa Stark, Stannis Baratheon/Sansa Stark, Oberyn Martell/Sansa Stark, Sandor Clegane/Sansa Stark, Sansa Stark & Brynden ""Blackfish"" Tully, Catelyn Stark/Ned Stark, Tormund Giantsbane/Sansa Stark, Barney Ross/Catelyn Tully Stark, Khal Drogo/Sansa Stark, Theon Greyjoy/Sansa Stark, Sansa Stark & Gendry Waters, Dornish Prince (Game of Thrones: The Iron Throne)/Sansa Stark, Sansa Stark/Arthur Martell, Domeric Bolton & Ramsay Bolton & Roose Bolton & Sansa Stark, Night's King/Sansa Stark, Ned Stark & Sansa Stark, Sansa Stark & The Stranger, Jon Snow/Sansa Stark, Podrick Payne/Sansa Stark, Sansa Stark/The Stranger, Sansa Stark/Samwell Tarly, Dale Seaworth/Sansa Stark, Sansa Stark & Benjen Stark & Brynden ""Blackfish"" Tully, Sansa Stark/Robin Flint, Sansa Stark/Viserys Targaryen, Daemon Sand/Sansa Stark, Jango Fett/Sansa Stark, Boba Fett/Sansa Stark","Sansa Stark, Roose Bolton, Tywin Lannister, Dickon Tarly, Yara Greyjoy, Domeric Bolton, Davos Seaworth, Jaqen H'ghar, Stannis Baratheon, Oberyn Martell, Sandor Clegane, Brynden ""Blackfish"" Tully, Ned Stark, Catelyn Tully Stark, Tormund Giantsbane, Barney Ross, Khal Drogo, Theon Greyjoy, Gendry Waters, Dornish Prince (Game of Thrones: The Iron Throne), Night King of the White Walkers (Game of Thrones), Ramsay Bolton, Podrick Payne, Samwell Tarly, Dale Seaworth, Robin Flint, Viserys Targaryen, Lee Christmas, Daemon Sand, Jango Fett, Boba Fett","Pic Set, Alternate Universe - Modern Setting, Alternate Universe - Canon Divergence"
45728530,Creator Chose Not To Use Archive Warnings,,,"Character Sheets, Character Information, OC Sheets"
45726808,Creator Chose Not To Use Archive Warnings,,"99 (Star Wars: The Clone Wars), Null ARC Troopers (Star Wars), Ko Sai, Taun We","Please be kind first time writing, formatting issues, No Beta We Die Like Clones"
40523802,Creator Chose Not To Use Archive Warnings,,"IN ORDER OF APPEARANCE..., Selonian Characters (Star Wars), Zabrak Characters (Star Wars), Weequay Characters (Star Wars), Daleen (Star Wars), Kilindi Matako, Darth Maul, Trezza (Star Wars), Leyli (Star Wars), Drall Characters (Star Wars), Meltch Krakko, Castas (Star Wars), Mika (Star Wars), Harll (Star Wars), Cathar Characters (Star Wars), Anarrian Characters (Star Wars), Original Human Character(s), Phow Ji","Orsis Academy (Star Wars), Bounty Hunters' Guild, Bounty Hunters' Guild Politics, Camp Nanowrimo"
44887441,No Archive Warnings Apply,,"Hunter (Star Wars: The Bad Batch), Tech (Star Wars: The Bad Batch), CT-21-0408 | CT-1409 | Echo, Wrecker (Star Wars: The Bad Batch), Crosshair (Star Wars: The Bad Batch), Omega (Star Wars: The Bad Batch), Cid (Star Wars: The Bad Batch), Original Characters",
45701983,No Archive Warnings Apply,CT-9904 | Crosshair/Reader,"Crosshair (Star Wars: The Bad Batch), Reader","Fluff, Sickfic, Cuddling & Snuggling"
45724666,No Archive Warnings Apply,Cassian Andor & Ruescott Melshi,"Ruescott Melshi, Cassian Andor","Angst, Angst and Hurt/Comfort, Post-Escape From Narkina 5 Imperial Prison Complex (Star Wars: Andor TV), Hurt/Comfort, Emotional Hurt/Comfort, Sick Ruescott Melshi, that needs to be a tag, Starvation, Canon-Typical Imperial Human Rights Abuses, Ruescott Melshi Needs a Hug, he gets one, CW: mention of vomit, Aftermath of Torture, (Because Narkina 5 was Torture), Cassian Andor is a Good Bro, The Author is Hopelessly Self-Indulgent, No Beta We Die Like Most of The Prisoners"
45677524,Creator Chose Not To Use Archive Warnings,CT-9904 | Crosshair & Clone Commander Mayday,"Crosshair (Star Wars: The Bad Batch), Clone Commander Mayday (Star Wars), Hunter (Star Wars: The Bad Batch), Tech (Star Wars: The Bad Batch), Wrecker (Star Wars: The Bad Batch), Omega (Star Wars: The Bad Batch), CC-2224 | Cody","Crosshair Needs a Hug (Star Wars: The Bad Batch), Protective Crosshair (Star Wars: The Bad Batch), Soft Crosshair (Star Wars: The Bad Batch), Clone Commander Mayday Lives (Star Wars), Angst and Hurt/Comfort, Fix-It, Episode: s02e12 The Outpost (Star Wars: The Bad Batch)"
45129496,No Archive Warnings Apply,CC-2224 | Cody/Obi-Wan Kenobi,"CC-2224 | Cody, Obi-Wan Kenobi, CT-7567 | Rex","Mind Control Aftermath & Recovery, Post-Order 66 (Star Wars)"
