"","author","total_posts","avg_posts_year","avg_post_month","avg_post_week"
"1","_Melodic_ (Sae)",1,1,1,1
"2","007black",1,1,1,1
"3","01ferdzc",1,1,1,1
"4","0dannyphantom0",2,1,1,1
"5","0nce_Upon_My_Story",1,1,1,1
"6","0phelianne",1,1,1,1
"7","1_800_fiction",1,1,1,1
"8","1_Queen",2,2,1,1
"9","1_ReadDontSleep_1",1,1,1,1
"10","1000_Spiders_in_a_Trenchcoat",1,1,1,1
"11","1000lux",1,1,1,1
"12","1000thGhost",1,1,1,1
"13","100indecisions",4,1,1,1
"14","101places",23,5.75,1.44642857142857,1.01666666666667
"15","11paruline44",1,1,1,1
"16","1337banna",4,4,1,1
"17","1337wtfomgbby",2,1,1,1
"18","13ee",1,1,1,1
"19","13gj6",1,1,1,1
"20","13th_blackbird",4,2,1,1
"21","14hpgirl19",1,1,1,1
"22","157yrs",1,1,1,1
"23","16mistypaw",2,2,1,1
"24","1787AmericanRevnerd",1,1,1,1
"25","17fingertips",1,1,1,1
"26","17thousand",1,1,1,1
"27","1863",1,1,1,1
"28","19_smiles",1,1,1,1
"29","1917farmgirl",1,1,1,1
"30","19lams5",2,2,1,1
"31","1AdiWriter1",1,1,1,1
"32","1cafezinho",1,1,1,1
"33","1creativeusernameplease",2,1,1,1
"34","1f_this_be_madness",2,1,1,1
"35","1llusionmachine",2,2,1,1
"36","1LuckyDetective1",1,1,1,1
"37","1nceGivenUp_NeverRegained",1,1,1,1
"38","1PB2PB3PB4",1,1,1,1
"39","1SilentWolfWarrior",3,1,1,1
"40","2000pancakes",2,1,1,1
"41","20SomethingSuperHeroes",6,3,1.16666666666667,1
"42","21stCenturyBluestocking",2,2,1,1
"43","221B Bitch (UndeservingHero)",2,2,1,1
"44","221brothermine",1,1,1,1
"45","221bshrlocked",1,1,1,1
"46","222Ravens",5,5,1,1
"47","22alabaster",1,1,1,1
"48","23KatieMacpherson19",1,1,1,1
"49","23Murasaki",2,2,1,1
"50","2Hemi2",1,1,1,1
"51","2livenlove",3,3,1.5,1
"52","2manycharacters",1,1,1,1
"53","2manycrackficideas (toomanystoryideas)",1,1,1,1
"54","2ofpentacles",1,1,1,1
"55","2queer4here",1,1,1,1
"56","2short4astormtrooper",1,1,1,1
"57","2woodroses",2,2,1,1
"58","30026401",1,1,1,1
"59","300spartans",1,1,1,1
"60","382",5,1,1,1
"61","38Heroes",1,1,1,1
"62","3HobbitsInATrenchcoat",1,1,1,1
"63","3KidsInATrenchCoat",4,4,2,1
"64","400typesof_aloevera",1,1,1,1
"65","408_Request_Timeout",1,1,1,1
"66","425599167",5,1.25,1,1
"67","425anonymous",1,1,1,1
"68","46hasu (orphan_account)",1,1,1,1
"69","4AcesofSpades",2,2,1,1
"70","4ce_in_sp4ce",3,1.5,1,1
"71","4gardiean",3,3,1,1
"72","4hoots",6,6,1.5,1
"73","4persephone",2,2,1,1
"74","530_and_some_fandoms",1,1,1,1
"75","54worlds",6,6,2,1
"76","54yomi",1,1,1,1
"77","5ofSpades",10,2.5,1.05,1
"78","5wans_Kenobe",2,2,1,1
"79","5ximera5",1,1,1,1
"80","60sec400",3,1.5,1,1
"81","66chaoticMinds",1,1,1,1
"82","68legs",1,1,1,1
"83","6monthsfromnever",3,1.5,1.5,1
"84","6Starlight6",1,1,1,1
"85","743ish",1,1,1,1
"86","745sticky",1,1,1,1
"87","7billionothersandme",1,1,1,1
"88","7Fanfer7",1,1,1,1
"89","84dragons",1,1,1,1
"90","8at5am_Wh0_L4ugh5",1,1,1,1
"91","8bitluck",1,1,1,1
"92","8the_cat_chemist_doctor8",2,2,2,1
"93","9093008323",1,1,1,1
"94","93PenguinImperator",2,1,1,1
"95","99percentsure",1,1,1,1
"96","9tieth",1,1,1,1
"97","A Hot Pink Mess (HotPinkMess)",1,1,1,1
"98","A Magiluna Stormwriter (ariestess)",2,1,1,1
"99","A_beautiful_lie",1,1,1,1
"100","a_bird_who_is_like_no_other",1,1,1,1
"101","A_Canceled_Stamp",1,1,1,1
"102","A_chinchilla_with_lightsaber",1,1,1,1
"103","A_Cinnamon_Roll",1,1,1,1
"104","A_dork",1,1,1,1
"105","a_dyad_in_the_force",1,1,1,1
"106","A_fallen_prince_A_worthy_hero",1,1,1,1
"107","A_fangirl_alone",1,1,1,1
"108","A_fluffer_nutter",1,1,1,1
"109","A_Horse_Called_Hwin",1,1,1,1
"110","a_little_hope (orphan_account)",10,5,1.8,1
"111","A_little_wizard_lad",1,1,1,1
"112","A_Lover_of_Nature",1,1,1,1
"113","A_Manda_Lorian",1,1,1,1
"114","a_myriad_of_stars",1,1,1,1
"115","A_Nobelmonster",1,1,1,1
"116","A_Phoenix_Inferno_K20",4,4,2,1
"117","A_Pilgrim_In_Zion",1,1,1,1
"118","a_pun_or_something",3,3,1,1
"119","a_quiet_thing (singing_at_dawn)",2,1,1,1
"120","A_Random_Pillow (orphan_account)",1,1,1,1
"121","a_reliable_source_of_financial_advice",1,1,1,1
"122","A_Roadside_Attraction",2,1,1,1
"123","A_Shieldmaiden_of_Rohan",2,2,1,1
"124","a_shiny_mess (magpie4shinies)",3,3,1,1
"125","A_Side_of_Curly_Fries",1,1,1,1
"126","a_sketchy_jedi",3,3,1.5,1
"127","A_Smiling_Face",1,1,1,1
"128","A_Spark_Of_Hope",3,1.5,1,1
"129","a_spot_of_rein",7,3.5,1.25,1
"130","A_Starry_Night",3,1,1,1
"131","A_Stranded_Grand_Admiral",1,1,1,1
"132","a_tinyflower",1,1,1,1
"133","A_Touch_Of_Insanity",1,1,1,1
"134","A_Undomiel",4,2,1.5,1
"135","A_Voice_in_the_Desert",2,2,1,1
"136","A1derfulperson",1,1,1,1
"137","aaliona",1,1,1,1
"138","aaliyahhigurashireborn",3,1.5,1,1
"139","AAMain",5,2.5,1.16666666666667,1
"140","aameyalli",1,1,1,1
"141","aaName",2,2,1,1
"142","aangazonprime",1,1,1,1
"143","Aariel",29,4.83333333333333,1.30357142857143,1
"144","Aaron2Bu",1,1,1,1
"145","Aaronantium",2,1,1,1
"146","aaronminyxrd",1,1,1,1
"147","Aaveena",2,1,1,1
"148","AayalaMaro",1,1,1,1
"149","AayHan",1,1,1,1
"150","aba_daba_do",1,1,1,1
"151","Abacura",2,2,2,1
"152","AbandonShip",4,2,2,1
"153","abbeneyk003",1,1,1,1
"154","Abboh",4,1.33333333333333,1.33333333333333,1
"155","AbbyGel",1,1,1,1
"156","AbbyNormal831",1,1,1,1
"157","abbysoka (abbadab97)",1,1,1,1
"158","abc123z",3,1.5,1,1
"159","Abenteuerfrosch",1,1,1,1
"160","AberrantRen",1,1,1,1
"161","ABerryRandomWriter",3,3,1.5,1
