"","author","total_posts","avg_posts_year","avg_posts_month","avg_posts_week","min_rating","max_rating","med_rating","avg_rating","min_word_count","max_word_count","avg_word_count","min_paragraph_count","max_paragraph_count","avg_paragraph_count","tag1","tag2","tag3","log_avg_rating"
"1","_Melodic_ (Sae)",1,1,1,1,963,2031,1497,1497,1087,511,799,1,1,1,NA,NA,NA,7.31121838441963
"2","007black",1,1,1,1,2096,2096,2096,2096,254,254,254,1,1,1,NA,NA,NA,7.64778604544093
"3","01ferdzc",1,1,1,1,1706,1706,1706,1706,19,19,19,1,1,1,NA,NA,NA,7.44190672805162
"4","0dannyphantom0",2,1,1,1,499,959,729,729,126,449,287.5,1,1,1,"CC-2224","Cody/Obi-Wan KenobiCC-2224","Cody",6.59167373200866
"5","0nce_Upon_My_Story",1,1,1,1,793,793,793,793,7776,7776,7776,1,1,1,NA,NA,NA,6.67582322163485
"6","0phelianne",1,1,1,1,196,196,196,196,2052,2052,2052,1,1,1,NA,NA,NA,5.27811465923052
"7","1_800_fiction",1,1,1,1,1837,2075,1956,1956,1211,2680,1945.5,1,2,1.5,NA,NA,NA,7.57865685059476
"8","1_Queen",2,2,1,1,22,967,65,236.916666666667,1117,3635,6667.25,1,5,5.16666666666667,NA,NA,NA,5.467708461863
"9","1_ReadDontSleep_1",1,1,1,1,60,1592,302,514.833333333333,1097,976,1219.33333333333,1,1,1,NA,NA,NA,6.24384322369053
"10","1000_Spiders_in_a_Trenchcoat",1,1,1,1,49,49,49,49,877,877,877,1,1,1,NA,NA,NA,3.89182029811063
"11","1000lux",1,1,1,1,1287,1287,1287,1287,2431,2431,2431,2,2,2,NA,NA,NA,7.16006920759613
"12","1000thGhost",1,1,1,1,20,20,20,20,2429,2429,2429,1,1,1,NA,NA,NA,2.99573227355399
"13","100indecisions",4,1,1,1,71,642,313,334.75,1816,892,1005,1,1,1,NA,NA,NA,5.81338398457128
"14","101places",23,5.75,1.44642857142857,1.01666666666667,69,835,312.5,326.769230769231,1009,863,1918.53846153846,1,1,1,"Revan/Bastila Shan","Female Revan/Bastila ShanRevan (Star Wars)","Female Revan (Star Wars)",5.78925420546024
"15","11paruline44",1,1,1,1,710,710,710,710,461,461,461,1,1,1,NA,NA,NA,6.56526497003536
"16","1337banna",4,4,1,1,1853,5442,3148,3397.75,18274,3737,7177.75,1,6,2.25,NA,NA,NA,8.13086872683546
"17","1337wtfomgbby",2,1,1,1,7,1053,692,584,1043,4769,3270,1,9,4.66666666666667,NA,NA,NA,6.36990098282823
"18","13ee",1,1,1,1,253,253,253,253,1238,1238,1238,1,1,1,NA,NA,NA,5.53338948872752
"19","13gj6",1,1,1,1,156,156,156,156,10912,10912,10912,6,6,6,NA,NA,NA,5.04985600724954
"20","13th_blackbird",4,2,1,1,863,2310,2148,1795.6,1405,647,1869.4,1,1,1,NA,NA,NA,7.49309450690778
"21","14hpgirl19",1,1,1,1,1212,1212,1212,1212,2410,2410,2410,1,1,1,NA,NA,NA,7.10002716662926
"22","157yrs",1,1,1,1,154,154,154,154,531,531,531,1,1,1,NA,NA,NA,5.03695260241363
"23","16mistypaw",2,2,1,1,380,5022,2701,2701,3141,3583,3362,1,1,1,NA,NA,NA,7.90137735379262
"24","1787AmericanRevnerd",1,1,1,1,58,58,58,58,331,331,331,1,1,1,NA,NA,NA,4.06044301054642
"25","17fingertips",1,1,1,1,2015,2015,2015,2015,2882,2882,2882,1,1,1,NA,NA,NA,7.60837447438078
"26","17thousand",1,1,1,1,507,507,507,507,3264,3264,3264,1,1,1,NA,NA,NA,6.22851100359118
"27","1863",1,1,1,1,514,514,514,514,1656,1656,1656,1,1,1,NA,NA,NA,6.24222326545517
"28","19_smiles",1,1,1,1,203,203,203,203,949,949,949,1,1,1,NA,NA,NA,5.31320597904179
"29","1917farmgirl",1,1,1,1,623,623,623,623,1480,1480,1480,1,1,1,NA,NA,NA,6.43454651878745
"30","19lams5",2,2,1,1,526,1741,1133.5,1133.5,28725,39543,34134,13,9,11,NA,NA,NA,7.03306546994758
"31","1AdiWriter1",1,1,1,1,59,59,59,59,28707,28707,28707,5,5,5,NA,"Eddy (Ed Edd n Eddy)","B1 Battle Droids (Star Wars)",4.07753744390572
"32","1cafezinho",1,1,1,1,1979,1979,1979,1979,3337,3337,3337,1,1,1,NA,NA,NA,7.59034694560257
"33","1creativeusernameplease",2,1,1,1,69,2314,1191.5,1191.5,1018,1850,1434,1,1,1,"Obi-Wan Kenobi & Anakin Skywalker","Obi-Wan Kenobi & Luke SkywalkerObi-Wan KenobiBaby Luke Skywalker","Introspection",7.0829682965388
"34","1f_this_be_madness",2,1,1,1,52,477,264.5,264.5,599,720,659.5,1,1,1,"Qui-Gon Jinn & Obi-Wan Kenobi","Obi-Wan Kenobi & Anakin Skywalker","Obi-Wan Kenobi & Luke Skywalker",5.57784125129835
"35","1llusionmachine",2,2,1,1,852,991,921.5,921.5,1725,2215,1970,1,1,1,NA,NA,NA,6.82600277710988
"36","1LuckyDetective1",1,1,1,1,1670,1670,1670,1670,1638,1638,1638,3,3,3,NA,NA,NA,7.4205789054108
"37","1nceGivenUp_NeverRegained",1,1,1,1,1479,1716,1597.5,1597.5,1018,1097,1057.5,1,1,1,NA,NA,NA,7.37619518625169
"38","1PB2PB3PB4",1,1,1,1,1008,1008,1008,1008,2449,2449,2449,1,1,1,NA,NA,NA,6.91572344863131
"39","1SilentWolfWarrior",3,1,1,1,205,373,265,281.6,0,832,1580.6,1,8,2.4,"nanAhsoka TanoFanart","Digital Painting","Digital Art",5.64048762428389
"40","2000pancakes",2,1,1,1,825,1647,1236,1236,2281,5733,4007,1,11,6,NA,NA,NA,7.11963563801764
"41","20SomethingSuperHeroes",6,3,1.16666666666667,1,124,1336,156,340.428571428571,14463,8445,17380.2857142857,1,8,2.14285714285714,NA,NA,NA,5.83020532804343
"42","21stCenturyBluestocking",2,2,1,1,17,204,110.5,110.5,12217,55245,33731,26,8,17,NA,NA,NA,4.70501552095781
"43","221B Bitch (UndeservingHero)",2,2,1,1,57,486,271.5,271.5,23110,505,11807.5,1,13,7,NA,NA,NA,5.60396213937399
"44","221brothermine",1,1,1,1,1203,1203,1203,1203,768,768,768,1,1,1,NA,NA,NA,7.09257371597468
"45","221bshrlocked",1,1,1,1,2071,2071,2071,2071,11340,11340,11340,1,1,1,NA,NA,NA,7.63578686139558
"46","222Ravens",5,5,1,1,351,2312,1596,1376.8,3618,853,1230.4,1,2,1.2,NA,NA,NA,7.22751724489733
"47","22alabaster",1,1,1,1,190,190,190,190,3025,3025,3025,1,1,1,NA,NA,NA,5.24702407216049
"48","23KatieMacpherson19",1,1,1,1,854,854,854,854,8504,8504,8504,1,1,1,NA,NA,NA,6.74993119378857
"49","23Murasaki",2,2,1,1,318,6036,3177,3177,1188,54653,27920.5,3,41,22,NA,NA,NA,8.06369263426952
"50","2Hemi2",1,1,1,1,1652,1652,1652,1652,5455,5455,5455,6,6,6,NA,NA,NA,7.40974195408092
"51","2livenlove",3,3,1.5,1,385,3004,1658,1682.33333333333,2699,4154,3312.66666666667,1,1,1,NA,NA,NA,7.42793699767215
"52","2manycharacters",1,1,1,1,157,157,157,157,731,731,731,1,1,1,NA,NA,NA,5.05624580534831
"53","2manycrackficideas (toomanystoryideas)",1,1,1,1,97,97,97,97,821,821,821,1,1,1,NA,NA,NA,4.57471097850338
"54","2ofpentacles",1,1,1,1,341,341,341,341,803,803,803,1,1,1,NA,NA,NA,5.83188247728352
"55","2queer4here",1,1,1,1,250,250,250,250,390,390,390,1,1,1,NA,NA,NA,5.52146091786225
"56","2short4astormtrooper",1,1,1,1,184,184,184,184,2792,2792,2792,28,28,28,NA,NA,NA,5.21493575760899
"57","2woodroses",2,2,1,1,264,445,354.5,354.5,1052,1382,1217,1,1,1,NA,NA,NA,5.87070834597218
"58","30026401",1,1,1,1,3440,3440,3440,3440,4994,4994,4994,5,5,5,NA,NA,NA,8.14322675036744
"59","300spartans",1,1,1,1,16804,16804,16804,16804,61374,61374,61374,64,64,64,"Padmé Amidala/Anakin Skywalker","Anakin Skywalker & Ahsoka Tano","Obi-Wan Kenobi & Ahsoka Tano",9.72937223228927
"60","382",5,1,1,1,15,448,282.5,258.5,0,6855,4015.16666666667,1,1,1,NA,NA,NA,5.55489569394848
"61","38Heroes",1,1,1,1,130,130,130,130,6668,6668,6668,1,1,1,NA,NA,NA,4.86753445045558
"62","3HobbitsInATrenchcoat",1,1,1,1,807,807,807,807,655,655,655,1,1,1,NA,NA,NA,6.69332366826995
"63","3KidsInATrenchCoat",4,4,2,1,46,2416,484,857.5,1464,8254,2998.25,1,5,2,NA,NA,NA,6.75402117904009
"64","400typesof_aloevera",1,1,1,1,24,24,24,24,1381,1381,1381,1,1,1,NA,NA,NA,3.17805383034795
"65","408_Request_Timeout",1,1,1,1,107,107,107,107,599,599,599,1,1,1,NA,NA,NA,4.67282883446191
"66","425599167",5,1.25,1,1,1681,3507,1838.5,2195.33333333333,1107,3333,7141.83333333333,1,4,1.5,NA,NA,NA,7.6940891742682
"67","425anonymous",1,1,1,1,334,334,334,334,58097,58097,58097,19,19,19,NA,NA,NA,5.8111409929767
"68","46hasu (orphan_account)",1,1,1,1,1465,1465,1465,1465,1995,1995,1995,1,1,1,NA,NA,NA,7.28961052145117
"69","4AcesofSpades",2,2,1,1,146,354,250,250,1384,14082,7733,1,10,5.5,NA,NA,NA,5.52146091786225
"70","4ce_in_sp4ce",3,1.5,1,1,1534,2788,2168,2163.33333333333,20941,4705,22443.6666666667,1,6,2.66666666666667,NA,NA,NA,7.67940552103002
"71","4gardiean",3,3,1,1,292,2627,2451,1790,27252,46334,36415.3333333333,10,20,15,NA,NA,NA,7.4899708988348
"72","4hoots",6,6,1.5,1,383,4202,1696,2171.57142857143,1082,6452,3264.85714285714,1,1,1,NA,NA,NA,7.68320634508871
"73","4persephone",2,2,1,1,1420,2767,2093.5,2093.5,3071,4037,3554,1,1,1,NA,NA,NA,7.6465925854592
"74","530_and_some_fandoms",1,1,1,1,815,815,815,815,843,843,843,1,1,1,NA,NA,NA,6.70318811324086
"75","54worlds",6,6,2,1,311,1431,420,639.714285714286,1019,868,1938.42857142857,1,1,1,NA,NA,NA,6.46102164810339
"76","54yomi",1,1,1,1,553,553,553,553,3806,3806,3806,2,2,2,NA,NA,NA,6.31535800152233
"77","5ofSpades",10,2.5,1.05,1,792,7635,1840.5,2523,14161,874,3522.4,1,9,12.2,NA,NA,NA,7.83320394864106
"78","5wans_Kenobe",2,2,1,1,135,383,185.5,222.25,2088,947,2510.5,1,4,1.75,NA,NA,NA,5.40380287439401
"79","5ximera5",1,1,1,1,8,8,8,8,2093,2093,2093,1,1,1,NA,NA,NA,2.07944154167984
"80","60sec400",3,1.5,1,1,797,2116,1695,1536,1568,2874,7710.33333333333,1,5,2.33333333333333,NA,NA,NA,7.33693691370762
"81","66chaoticMinds",1,1,1,1,15,65,40,40,1742,1760,1751,1,1,1,"Lana Beniko/Male Jedi Consular","Barsen'thorOriginal Jedi Character(s) (Star Wars)","Lana Beniko",3.68887945411394
"82","68legs",1,1,1,1,105,105,105,105,751,751,751,2,2,2,NA,NA,NA,4.65396035015752
"83","6monthsfromnever",3,1.5,1.5,1,102,1197,275,382.166666666667,1207,800,1529.66666666667,1,5,2,NA,NA,NA,5.94585681362985
"84","6Starlight6",1,1,1,1,135,135,135,135,865,865,865,1,1,1,NA,NA,NA,4.90527477843843
"85","743ish",1,1,1,1,2035,2035,2035,2035,1981,1981,1981,1,1,1,NA,NA,NA,7.6182510978767
"86","745sticky",1,1,1,1,3427,3427,3427,3427,1067,1067,1067,1,1,1,NA,NA,NA,8.13944052187461
"87","7billionothersandme",1,1,1,1,1826,2611,2218.5,2218.5,1273,1811,1542,1,1,1,NA,NA,NA,7.70458657081896
"88","7Fanfer7",1,1,1,1,1169,1169,1169,1169,15666,15666,15666,4,4,4,NA,NA,NA,7.06390396147207
"89","84dragons",1,1,1,1,1773,1773,1773,1773,901,901,901,1,1,1,NA,NA,NA,7.48042830607421
"90","8at5am_Wh0_L4ugh5",1,1,1,1,10,10,10,10,8738,8738,8738,1,1,1,NA,NA,NA,2.30258509299405
"91","8bitluck",1,1,1,1,1372,1372,1372,1372,2107,2107,2107,1,1,1,NA,NA,NA,7.22402480828583
"92","8the_cat_chemist_doctor8",2,2,2,1,1567,1625,1596,1596,639,946,792.5,1,1,1,NA,NA,NA,7.37525577800975
"93","9093008323",1,1,1,1,62,138,89,94.2,2221,73,2020,1,5,2,NA,NA,NA,4.54542018158232
"94","93PenguinImperator",2,1,1,1,42,137,89.5,89.5,18993,6322,12657.5,3,9,6,NA,NA,NA,4.49423862528081
"95","99percentsure",1,1,1,1,112,112,112,112,996,996,996,1,1,1,NA,NA,NA,4.71849887129509
"96","9tieth",1,1,1,1,516,516,516,516,495,495,495,1,1,1,NA,NA,NA,6.24610676548156
"97","A Hot Pink Mess (HotPinkMess)",1,1,1,1,95,95,95,95,718,718,718,1,1,1,NA,NA,NA,4.55387689160054
"98","A Magiluna Stormwriter (ariestess)",2,1,1,1,120,291,152,178.75,315,626,510.25,1,1,1,NA,NA,NA,5.18598818157412
"99","A_beautiful_lie",1,1,1,1,4930,4930,4930,4930,24,24,24,1,1,1,NA,NA,NA,8.50309426703674
"100","a_bird_who_is_like_no_other",1,1,1,1,99,99,99,99,22328,22328,22328,1,1,1,NA,NA,NA,4.59511985013459
"101","A_Canceled_Stamp",1,1,1,1,542,1354,948,948,1672,417,1044.5,1,1,1,NA,NA,NA,6.85435450225502
"102","A_chinchilla_with_lightsaber",1,1,1,1,47,47,47,47,369,369,369,1,1,1,NA,NA,NA,3.85014760171006
"103","A_Cinnamon_Roll",1,1,1,1,7,7,7,7,4726,4726,4726,3,3,3,NA,NA,NA,1.94591014905531
"104","A_dork",1,1,1,1,126,126,126,126,535,535,535,2,2,2,NA,NA,NA,4.83628190695148
"105","a_dyad_in_the_force",1,1,1,1,1191,1191,1191,1191,948,948,948,1,1,1,NA,NA,NA,7.0825485693553
"106","A_fallen_prince_A_worthy_hero",1,1,1,1,643,643,643,643,1196,1196,1196,2,2,2,NA,NA,NA,6.46614472423762
"107","A_fangirl_alone",1,1,1,1,43,43,43,43,688,688,688,1,1,1,NA,NA,NA,3.76120011569356
"108","A_fluffer_nutter",1,1,1,1,30,75,56.5,54.5,1187,954,1054.75,1,1,1,NA,NA,NA,3.9982007016692
"109","A_Horse_Called_Hwin",1,1,1,1,3088,3088,3088,3088,1787,1787,1787,1,1,1,NA,NA,NA,8.03527891114467
"110","a_little_hope (orphan_account)",10,5,1.8,1,273,2824,1388,1426.72727272727,1329,990,6979.2,1,6,3.9,NA,NA,NA,7.26313847988905
"111","A_little_wizard_lad",1,1,1,1,216,216,216,216,1651,1651,1651,1,1,1,NA,NA,NA,5.37527840768417
"112","A_Lover_of_Nature",1,1,1,1,500,500,500,500,49787,49787,49787,11,11,11,NA,NA,NA,6.21460809842219
"113","A_Manda_Lorian",1,1,1,1,128,128,128,128,1654,1654,1654,1,1,1,NA,NA,NA,4.85203026391962
"114","a_myriad_of_stars",1,1,1,1,780,780,780,780,2761,2761,2761,1,1,1,NA,NA,NA,6.65929391968364
"115","A_Nobelmonster",1,1,1,1,107,107,107,107,1023,1023,1023,1,1,1,NA,NA,NA,4.67282883446191
"116","A_Phoenix_Inferno_K20",4,4,2,1,371,1149,745.5,752.75,1831,2198,2053.5,1,1,1,NA,NA,NA,6.62373316736184
"117","A_Pilgrim_In_Zion",1,1,1,1,1287,1287,1287,1287,1094,1094,1094,1,1,1,NA,NA,NA,7.16006920759613
"118","a_pun_or_something",3,3,1,1,265,646,468,459.666666666667,373,717,579.666666666667,1,1,1,NA,NA,NA,6.13050158912519
"119","a_quiet_thing (singing_at_dawn)",2,1,1,1,101,117,109,109,113,316,214.5,1,1,1,NA,NA,NA,4.69134788222914
"120","A_Random_Pillow (orphan_account)",1,1,1,1,1879,1879,1879,1879,7223,7223,7223,8,8,8,NA,NA,NA,7.53849499941346
"121","a_reliable_source_of_financial_advice",1,1,1,1,49,49,49,49,1790,1790,1790,1,1,1,"Kleya Marki & Luthen RaelLuthen Rael","Kleya Marki","Mon Mothma",3.89182029811063
"122","A_Roadside_Attraction",2,1,1,1,81,531,306,306,1304,383,843.5,1,2,1.5,NA,NA,NA,5.72358510195238
"123","A_Shieldmaiden_of_Rohan",2,2,1,1,181,1540,313,540.285714285714,10266,9014,7611,1,2,1.14285714285714,NA,NA,NA,6.29209810016309
"124","a_shiny_mess (magpie4shinies)",3,3,1,1,628,2311,1413,1450.66666666667,2674,993,2182.66666666667,1,1,1,NA,NA,NA,7.27977849986767
"125","A_Side_of_Curly_Fries",1,1,1,1,735,735,735,735,4562,4562,4562,7,7,7,NA,NA,NA,6.59987049921284
"126","a_sketchy_jedi",3,3,1.5,1,510,839,680,676.333333333333,1110,514,1038,1,1,1,NA,NA,NA,6.5166860511577
"127","A_Smiling_Face",1,1,1,1,789,789,789,789,3400,3400,3400,1,1,1,NA,NA,NA,6.67076632084587
"128","A_Spark_Of_Hope",3,1.5,1,1,40,292,79,137,1162,5079,2937,1,1,1,NA,NA,NA,4.91998092582813
"129","a_spot_of_rein",7,3.5,1.25,1,557,1408,678,752.333333333333,1016,981,654.444444444444,1,1,1,NA,NA,NA,6.62317948814943
"130","A_Starry_Night",3,1,1,1,75,194,105,124.666666666667,650,895,735.333333333333,1,1,1,NA,NA,NA,4.82564350874642
"131","A_Stranded_Grand_Admiral",1,1,1,1,88,88,88,88,2070,2070,2070,3,3,3,NA,NA,NA,4.47733681447821
"132","a_tinyflower",1,1,1,1,182,182,182,182,2049,2049,2049,1,1,1,NA,NA,NA,5.2040066870768
"133","A_Touch_Of_Insanity",1,1,1,1,1161,2038,1599.5,1599.5,1266,1419,1342.5,1,1,1,NA,NA,NA,7.37744635938957
"134","A_Undomiel",4,2,1.5,1,324,481,431,416.75,1430,3542,2222.75,1,1,1,NA,NA,NA,6.0324865216309
"135","A_Voice_in_the_Desert",2,2,1,1,969,1081,1025,1025,1355,1476,1415.5,1,1,1,NA,NA,NA,6.93244789157251
"136","A1derfulperson",1,1,1,1,196,196,196,196,1673,1673,1673,1,1,1,NA,NA,NA,5.27811465923052
"137","aaliona",1,1,1,1,1542,1542,1542,1542,1066,1066,1066,1,1,1,NA,NA,NA,7.34083555412327
"138","aaliyahhigurashireborn",3,1.5,1,1,303,1456,1220.5,1050,1067,2912,2172.5,1,2,1.25,NA,NA,NA,6.95654544315157
"139","AAMain",5,2.5,1.16666666666667,1,89,2397,139,514.5,1010,791,3040.83333333333,1,23,4.66666666666667,NA,NA,NA,6.2431955552741
"140","aameyalli",1,1,1,1,482,482,482,482,1483,1483,1483,1,1,1,NA,NA,NA,6.1779441140506
"141","aaName",2,2,1,1,204,330,267,267,30443,5829,18136,1,6,3.5,NA,NA,NA,5.58724865840025
"142","aangazonprime",1,1,1,1,1417,1417,1417,1417,3273,3273,3273,2,2,2,NA,NA,NA,7.25629723969068
"143","Aariel",29,4.83333333333333,1.30357142857143,1,65,4451,510.5,913.333333333333,100,586,423.2,1,1,1,NA,NA,NA,6.81710091071401
"144","Aaron2Bu",1,1,1,1,2,2,2,2,3127,3127,3127,1,1,1,NA,NA,NA,0.693147180559945
"145","Aaronantium",2,1,1,1,91,577,334,334,0,0,0,1,1,1,NA,NA,NA,5.8111409929767
"146","aaronminyxrd",1,1,1,1,1520,1520,1520,1520,2963,2963,2963,1,1,1,NA,NA,NA,7.32646561384032
"147","Aaveena",2,1,1,1,717,1422,1069.5,1069.5,3082,4120,3601,1,3,2,NA,NA,NA,6.97494652852246
"148","AayalaMaro",1,1,1,1,2774,2774,2774,2774,2171,2171,2171,1,1,1,NA,NA,NA,7.92804560087478
"149","AayHan",1,1,1,1,306,1058,682,682,122,500,311,1,1,1,NA,NA,NA,6.52502965784346
"150","aba_daba_do",1,1,1,1,383,383,383,383,1036,1036,1036,1,1,1,NA,NA,NA,5.94803498918065
"151","Abacura",2,2,2,1,1311,2201,1756,1756,1878,2134,2006,1,2,1.5,NA,NA,NA,7.47079377419506
"152","AbandonShip",4,2,2,1,69,964,175,345.75,103,450,201.25,1,1,1,NA,NA,NA,5.84571597054487
"153","abbeneyk003",1,1,1,1,152,152,152,152,1281,1281,1281,1,1,1,NA,NA,NA,5.02388052084628
"154","Abboh",4,1.33333333333333,1.33333333333333,1,219,2321,445,817.888888888889,1435,846,1403,1,5,1.44444444444444,NA,NA,NA,6.70672649472249
"155","AbbyGel",1,1,1,1,762,762,762,762,738,738,738,1,1,1,NA,NA,NA,6.63594655568665
"156","AbbyNormal831",1,1,1,1,568,568,568,568,1331,1331,1331,1,1,1,NA,NA,NA,6.34212141872115
"157","abbysoka (abbadab97)",1,1,1,1,139,139,139,139,1409,1409,1409,1,1,1,NA,NA,NA,4.93447393313069
"158","abc123z",3,1.5,1,1,710,13536,2998.5,5060.75,3348,918,13811,1,16,4.75,NA,NA,NA,8.52926997264169
"159","Abenteuerfrosch",1,1,1,1,43,43,43,43,606,606,606,1,1,1,NA,NA,NA,3.76120011569356
