Author,Tag1,Tag2,Tag3
Author,Word1,Word2,Word3
braigwen_s,Malavai Quinn & Vette,Malavai Quinn/Female Sith Warrior (background)Malavai Quinn,Vette (Star Wars)Autistic Malavai Quinn
melodinklings,Crosshair & CT-21-0408 ,CT-1409 ,Echo & Hunter & Omega & Tech & Wrecker (Star Wars: The Bad Batch)Hunter (Star Wars: The Bad Batch)
Azertyrobaz,Baby Yoda,Din Djarin & Paz Vizsla,Din Djarin & Grogu 
manofbeskar,Scott (Star Wars: The Book of Boba Fett),Jo (The Mandalorian TV),Weequay Proprietor 
Pamillie,CT-7567 ,Rex/Ahsoka TanoCT-7567 ,Rex
duchesssappho,CC-2224 ,Cody & Obi-Wan Kenobi,Cody
Eating_Flowers,Poe Dameron/Reader,Poe Dameron/YouPoe DameronIllness,Nausea
MisakiArioka,Din Djarin/Reader,Din Djarin/You,Din Djarin & Reader
LuminousBeingsAreWe (Jennifer_Perry12),Anakin Skywalker,Padawan Anakin Skywalker,Obi-Wan Kenobi & Anakin SkywalkerObi-Wan Kenobi
dragonheart09,CT-9904 ,Crosshair & Clone Commander MaydayCrosshair (Star Wars: The Bad Batch),Clone Commander Mayday (Star Wars)Crosshair Needs a Hug (Star Wars: The Bad Batch)
reylotrash711,Rey/Ben Solo ,Kylo RenRey (Star Wars),Ben Solo 
GunRoswell (GunRoswall),CT-1409 ,Not Canon Compliant,Echo
Starwalkertales,Obi-Wan Kenobi & Anakin SkywalkerObi-Wan Kenobi,Anakin Skywalker,Sheev Palpatine 
Himilce,Obi-Wan Kenobi/Anakin SkywalkerAnakin Skywalker,Obi-Wan Kenobi,Jocasta Nu
notpersephone02,Breha Organa & Leia Organa,Bail Organa/Breha OrganaBreha Organa,Leia Organa
Ayearandaday,Kylo Ren,Rey/Ben Solo ,Kylo Ren/ReyRey (Star Wars)
BurnWater_13,Din Djarin & Grogu ,Baby Yoda,Grogu 
BobasBounty5,Boba Fett/Reader,Short One Shot,Short & Sweet
Minicole,Crack,nanAnakin Skywalker ,Darth Vader
reddottedpaper,Cal Kestis/Merrin,BD-1 & Cal Kestis,Cere Junda & Cal Kestis
orphan_account,CT-21-0408 ,CT-1409 ,Rey/Ben Solo 
stopstopstopit,CT-1409 ,CT-9904 ,CT-21-0408 
GreenBayDan22,Mara Jade/Luke Skywalker,Leia Organa/Han SoloMara Jade,Luke Skywalker
commanderdameron,Obi-Wan Kenobi & ReyObi-Wan Kenobi,Rey (Star Wars)Post-Star Wars: A New Hope,Pre-Star Wars: The Force Awakens
CourtesyTrefflin,CT-7567 ,Hurt/Comfort,Angst
SingSwan_SpringSwan,werewolf kanan jarrus,Kanan Jarrus/Hera Syndulla,Kanan Jarrus & Hera SyndullaKanan Jarrus
Vedavan,Rey/Ben Solo ,Kylo RenRey (Star Wars),Ben Solo
raeofsunshin,Cadence Haren & Daska TarminDaska Tarmin ,Secretary,Cadence Harenhey followers its me
TwentyFunnyBunnies,ARC-5555 ,CT-27-5555 ,CT-6116 
BellaGriffin,Padmé Amidala/Anakin Skywalker,Padmé Amidala,Obi-Wan Kenobi
DarthLesbian,Cinta Kaz/Vel SarthaCinta Kaz,Vel SarthaFluff,Stargazing
StellanSlashGeode,Satine Kryze & Barriss Offee,Soniee & Barriss Offee,Lagos & Barriss Offee
Mimisempai,Fluff,Din Djarin/Luke Skywalker,Din Djarin & Grogu 
ineedminions,Tully,Ned Stark,Catelyn Tully Stark
JBwritesStarWars (jbwritesthings),nannanCharacter Sheets,Character Information,OC Sheets
Elska_of_Hedeby,nan99 (Star Wars: The Clone Wars),Null ARC Troopers (Star Wars),Ko Sai
berkinix,nanIN ORDER OF APPEARANCE...,Selonian Characters (Star Wars),Zabrak Characters (Star Wars)
Gimtak_Zibeti,nanHunter (Star Wars: The Bad Batch),Tech (Star Wars: The Bad Batch),CT-21-0408 
ghostofskywalker,CT-1409 ,Cuddling & Snuggling,CT-21-0408 
Taste_is_Sweet,Cassian Andor & Ruescott MelshiRuescott Melshi,Cassian AndorAngst,Angst and Hurt/Comfort
Brokenstar,CT-9904 ,Crosshair & Clone Commander MaydayCrosshair (Star Wars: The Bad Batch),Clone Commander Mayday (Star Wars)
idleWanderer,CC-2224 ,Cody/Obi-Wan KenobiCC-2224 ,Cody
SelenaHopeOfficial,ReyloRey (Star Wars),Ben Solo ,Kylo RenReylo AU Week 2018
queenlucythevaliant,Éowyn/Faramir (Son of Denethor II),Leia Organa/Han SoloÉowyn (Tolkien),Faramir (Son of Denethor II)
mballyntyne,CC-2224 ,Obi-Wan Kenobi,Ahsoka Tano
Talita01,Hunter (Star Wars: The Bad Batch)/Reader,Hunter (Star Wars: The Bad Batch) & ReaderHunter (Star Wars: The Bad Batch),Tech (Star Wars: The Bad Batch)
cac0daemonia,Boil & Numa & Waxer (Star Wars),Numa (Star Wars),Fluff
SquidWonder,Darth Vader,Luke Skywalker & Darth VaderLuke Skywalker,Fluff and Angst
IDKBISHSSS,Cinta Kaz/Vel SarthaCinta Kaz,Vel Sartha,Luthen RaelFluff
shmoost,Qui-Gon Jinn & Tahl,Plo Koon & Bant Eerin,Tahl & Bant Eerin
RexIsMyCopilot,Obi-Wan Kenobi/Anakin Skywalker,Qui-Gon Jinn/Obi-Wan Kenobi/Anakin Skywalker,Qui-Gon Jinn & Anakin Skywalker
Anonymous,CC-2224 ,Non-Sexual Age Play,Cody
WhiteWitchDark,nanRevan (Star Wars),Obi-Wan Kenobi,Reeft (Star Wars)
Wookiee_Writes,Leia Organa/Han SoloHan Solo,Leia Organa,Jan Dodonna
Flowerparrish Pods (Flowerparrish),Audio Format: MP3,Audio Format: Streaming,Podfic Length: 0-10 Minutes
mivyts,Din Djarin/ReaderDin Djarin,Grogu ,Baby YodaFluff
MintyEcco,Autistic Tech (Star Wars: The Bad Batch),CT-9904 ,Smart Tech (Star Wars: The Bad Batch)
gracedbybattle,CC-2224 ,Rex,Cody/Obi-Wan Kenobi
trillasbitch,Second Sister,Cere Junda & Cal Kestis,Cere Junda & Trilla Suduri 
Fiddledeedee,Baby Yoda,Din Djarin & Grogu ,Din Djarin & Bo-Katan Kryze
mapplestrudel,Paz Vizsla/Reader,Paz Vizsla/YouPaz Vizsla,Earthling!Reader - Characterhighly self-indulgent semi self-insert
Wishfulthinking1979,Venka (Star Wars),Epic Bromance,Family Feels
lamaenthel,Ahsoka Tano,CT-7567 ,Obi-Wan Kenobi & Ahsoka Tano
skim_milkk,CT-1409 ,Crosshair & CT-21-0408 ,Hunter (Star Wars: The Bad Batch)
Libby_25cSoda,Darth Vader,Luke Skywalker & Darth Vader,Biggs Darklighter & Luke SkywalkerLuke Skywalker
bitterburns,Vanessa A. ,CT-7567 ,Reader-Insert
MellenHead,Darth Vader,Firmus Piett/Darth VaderAnakin Skywalker ,Firmus Piett
Forever_A_Thief,CC-2224 ,ARC-5555 ,Rex
LoomLun,Obi-Wan Kenobi/Anakin SkywalkerAnakin Skywalker,Obi-Wan KenobiAI,AI generated story
Vox_CT_0930 (fynneas_k),CT-21-0408 ,CT-1409 ,nanWrecker (Star Wars: The Bad Batch)
Hilimi,Mace Windu,Protective Mace Windu,Wolffe
NotNecessarilyInThatOrder,OrreliosFamily,Friendship,Found Family
Greencharacters,Hera Syndulla Needs A Hug,Kanan Jarrus/Hera SyndullaHera Syndulla,Kanan Jarrus
burningallofmybridges,Obi-Wan Kenobi & Anakin Skywalker,Anakin Skywalker & Ahsoka Tano,Obi-Wan Kenobi & Ahsoka Tano
ParkerD17,Fluff,Tooth-Rotting Fluff,gender neutral reader
MandoGab,Fenn Rau & Kala Rook (OC),Fenn Rau & Protector Jastor (OC),Kala Rook/Protector JastorFenn Rau
Bloopy42,Kleya Marki/Luthen Rael,Kleya Marki & Luthen RaelLuthen Rael,Kleya Marki
RedfieldFamilyFan24,Baby Yoda,Mandalorians (Star Wars),Soft Din Djarin
SCWLC,Padmé Amidala/Anakin Skywalker,Jedi Culture & Tradition (Star Wars),Fix-It
Wishuponaduck,nanOriginal Clone Trooper Character(s) (Star Wars),Clone Trooper Hardcase (Star Wars),CC-1010 
Eggtoddy,Baby Yoda,Din Djarin & Grogu ,Boba Fett & Grogu 
Pathetic_Life_Form (Laurelindorenan),Hurt Obi-Wan Kenobi,Caring Qui-Gon Jinn,Qui-Gon Jinn is a Good Jedi Master
Fishykarp,nanDarth Maul,Eldra KaitisCharacter Study,Angst
abp,CC-2224 ,Cody/Obi-Wan KenobiCC-2224 ,Cody
kbirb pods (kbirb),Podfic,Podfic Length: 0-10 Minutes,Audio Format: MP3
AlamoGirl80,Clone Trooper Boil/Clone Trooper Waxer (Star Wars),Clone Trooper Boil & Clone Trooper Waxer (Star Wars)Clone Trooper Boil (Star Wars),Clone Trooper Waxer (Star Wars)Hurt/Comfort
NEON_JUNKIE,CT-9904 ,Crosshair/ReadernanEnemies to Friends,Bickering
Alium_Artifex,CC-2224 ,Cody/Obi-Wan Kenobi,Obi-Wan Kenobi/Satine Kryze
glensalvorson,Vestara Khai/Ben Skywalker (Star Wars Legends)Luke Skywalker,Ben Skywalker (Star Wars Legends),Vestara Khai
brightestorangedawn,Padmé Amidala,Darth Vader,Padmé Amidala/Anakin SkywalkerAnakin Skywalker
Threebea O (ThreeBea),CT-7567 ,Anakin Skywalker,CC-2224 
Lea_Angels,CC-2224 ,212th Attack Battalion Members (Star Wars: The Clone Wars) & Obi-Wan Kenobi,Cody & Obi-Wan Kenobi
pagination,nanDin Djarin,Grogu ,Baby Yoda
Obligatory_Trope_Insert,Legions Order AU,Darth Maul & Ahsoka Tano,Clone Troopers & Yoda (Star Wars)
Virodeil,Emotional Hurt/Comfort,Mandalorian Culture,Found Family
BitterChocolateStars,CC-2224 ,Cody,Cody/Obi-Wan Kenobi
slimyballs,CT-9904 ,Crosshair & Clone Commander Mayday,Crosshair & Hunter & Omega & Tech & Wrecker (Star Wars: The Bad Batch)Clone Commander Mayday (Star Wars)
Gabri_Jade,Family,Family Feels,Family Bonding
Dghom4him,CC-2224 ,Cody,104th Battalion 
scribble_dribble_writes,Obi-Wan Kenobi/You,Obi-Wan Kenobi/Reader,Obi-Wan Kenobi & You
